QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,,buyer1BW,buyer2BW,buyer3BW
12129,Jordan,2015,2,One Jeans Wear,Li & Fung,Kenneth Cole,,,,
17215,Jordan,2016,2,One Jeans Wear,Li & Fung,Kenneth Cole,,,,
22596,Jordan,2017,2,One Jeans Wear,Li & Fung,Kenneth Cole,,,,
30133,Jordan,2018,2,One Jeans Wear,Li & Fung,Kenneth Cole,,,,
36539,Jordan,2019,2,One Jeans Wear,Li & Fung,Kenneth Cole,,,,
41654,Jordan,2021,2,One Jeans Wear,Li & Fung,Kenneth Cole,,,,
9604,Jordan,2015,4,VF,PVH,Colombia,,,,
15001,Jordan,2016,4,VF,PVH,Colombia,,,,
20997,Jordan,2017,4,VF,PVH,Colombia,,,,
27880,Jordan,2018,4,VF,PVH,Colombia,,,,
34621,Jordan,2019,4,VF,PVH,Colombia,,,,
39647,Jordan,2020,4,VF,PVH,Colombia,,,,
43530,Jordan,2021,4,VF,PVH,Colombia,,,,
11315,Jordan,2015,5,Walmart,JC Penney,Hanesbrands ,,,,
16871,Jordan,2016,5,Walmart,JC Penney,Hanesbrands ,,,,
22611,Jordan,2017,5,Walmart,JC Penney,Hanesbrands ,,,,
12189,Jordan,2015,6,Gap,Express,Land's End,,,,
17635,Jordan,2016,6,Gap,Express,Land's End,,,,
23533,Jordan,2017,6,Gap,Express,Land's End,,,,
30785,Jordan,2018,6,Gap,Express,Land's End,,,,
37243,Jordan,2019,6,Gap,Express,Land's End,,,,
40925,Jordan,2020,6,Gap,Express,Land's End,,,,
12742,Jordan,2015,7,Nygard International,Gap,Ann Taylor,,,,
17245,Jordan,2016,7,Nygard International,Gap,Ann Taylor,,,,
23068,Jordan,2017,7,Nygard International,Gap,Ann Taylor,,,,
30170,Jordan,2018,7,Nygard International,Gap,Ann Taylor,,,,
36597,Jordan,2019,7,Nygard International,Gap,Ann Taylor,,,,
40058,Jordan,2020,7,Nygard International,Gap,Ann Taylor,,,,
10183,Jordan,2015,8,Walmart,Kmart,Russell Corporation,,,,
16002,Jordan,2016,8,Walmart,Kmart,Russell Corporation,,,,
