QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW
12129,Jordan,2015,2,one jeans wear,li & fung,kenneth cole,0,1,0
17215,Jordan,2016,2,one jeans wear,li & fung,kenneth cole,0,1,0
22596,Jordan,2017,2,one jeans wear,li & fung,kenneth cole,0,1,0
30133,Jordan,2018,2,one jeans wear,li & fung,kenneth cole,0,1,0
36539,Jordan,2019,2,one jeans wear,li & fung,kenneth cole,0,1,0
41654,Jordan,2021,2,one jeans wear,li & fung,kenneth cole,0,1,0
9604,Jordan,2015,4,vf,pvh,colombia,0,1,1
15001,Jordan,2016,4,vf,pvh,colombia,0,1,1
20997,Jordan,2017,4,vf,pvh,colombia,0,1,1
27880,Jordan,2018,4,vf,pvh,colombia,0,1,1
34621,Jordan,2019,4,vf,pvh,colombia,0,1,1
39647,Jordan,2020,4,vf,pvh,colombia,0,1,1
43530,Jordan,2021,4,vf,pvh,colombia,0,1,1
11315,Jordan,2015,5,walmart,jc penney,hanesbrands ,1,0,0
16871,Jordan,2016,5,walmart,jc penney,hanesbrands ,1,0,0
22611,Jordan,2017,5,walmart,jc penney,hanesbrands ,1,0,0
12189,Jordan,2015,6,gap,express,land's end,1,0,0
17635,Jordan,2016,6,gap,express,land's end,1,0,0
23533,Jordan,2017,6,gap,express,land's end,1,0,0
30785,Jordan,2018,6,gap,express,land's end,1,0,0
37243,Jordan,2019,6,gap,express,land's end,1,0,0
40925,Jordan,2020,6,gap,express,land's end,1,0,0
12742,Jordan,2015,7,nygard international,gap,ann taylor,0,1,1
17245,Jordan,2016,7,nygard international,gap,ann taylor,0,1,1
23068,Jordan,2017,7,nygard international,gap,ann taylor,0,1,1
30170,Jordan,2018,7,nygard international,gap,ann taylor,0,1,1
36597,Jordan,2019,7,nygard international,gap,ann taylor,0,1,1
40058,Jordan,2020,7,nygard international,gap,ann taylor,0,1,1
10183,Jordan,2015,8,walmart,kmart,russell corporation,1,0,0
16002,Jordan,2016,8,walmart,kmart,russell corporation,1,0,0
