QuestID,hrsigned,recruit,discfire,grievdispute,accounthr,comimplhr,investihr,emergencepr,riskcontr,accidentinvesti,accohs,impleosh,invstiosh,mngsum13items,mngitems
41058,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",0.0,0
40009,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.",,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.",0.0,0
40007,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",0.0,0
40892,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",0.0,0
40612,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",0.0,0
43566,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.",,"During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.","During this visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time. BFC will follow up on this issue in the next assessment visit.",0.0,0
8375,,,,,,,,,,,,,,0.0,0
43130,"During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",,"During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.","During this VCC visit, BFC decided to carry out a more focused risk-based assessment visit, thus this question is not assessed at this time.",0.0,0
43340,,,,,,,,,,0.0,,,,0.0,1
8139,,,,,,,,,,,,,,0.0,0
