QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
12129,Jordan,2015,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1.0,-1.0,-1.0
17215,Jordan,2016,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1.0,-1.0,-1.0
22596,Jordan,2017,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1.0,-1.0,-1.0
30133,Jordan,2018,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1.0,-1.0,-1.0
36539,Jordan,2019,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1.0,-1.0,-1.0
41654,Jordan,2021,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1.0,-1.0,-1.0
9604,Jordan,2015,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
15001,Jordan,2016,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
20997,Jordan,2017,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
27880,Jordan,2018,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
34621,Jordan,2019,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
39647,Jordan,2020,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
43530,Jordan,2021,4,vf,pvh,colombia,0.0,1.0,1.0,-1.0,-1.0,22.0
11315,Jordan,2015,5,walmart,jc penney,hanesbrands,1.0,0.0,0.0,25.0,16.0,-1.0
16871,Jordan,2016,5,walmart,jc penney,hanesbrands,1.0,0.0,0.0,25.0,16.0,-1.0
22611,Jordan,2017,5,walmart,jc penney,hanesbrands,1.0,0.0,0.0,25.0,16.0,-1.0
12189,Jordan,2015,6,gap,express,land's end,1.0,0.0,0.0,54.0,7.0,21.0
17635,Jordan,2016,6,gap,express,land's end,1.0,0.0,0.0,54.0,7.0,21.0
23533,Jordan,2017,6,gap,express,land's end,1.0,0.0,0.0,54.0,7.0,21.0
30785,Jordan,2018,6,gap,express,land's end,1.0,0.0,0.0,54.0,7.0,21.0
37243,Jordan,2019,6,gap,express,land's end,1.0,0.0,0.0,54.0,7.0,21.0
40925,Jordan,2020,6,gap,express,land's end,1.0,0.0,0.0,54.0,7.0,21.0
12742,Jordan,2015,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1.0,54.0,-1.0
17245,Jordan,2016,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1.0,54.0,-1.0
23068,Jordan,2017,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1.0,54.0,-1.0
30170,Jordan,2018,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1.0,54.0,-1.0
36597,Jordan,2019,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1.0,54.0,-1.0
40058,Jordan,2020,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1.0,54.0,-1.0
10183,Jordan,2015,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25.0,-1.0,-1.0
16002,Jordan,2016,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25.0,-1.0,-1.0
21357,Jordan,2017,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25.0,-1.0,-1.0
28278,Jordan,2018,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25.0,-1.0,-1.0
35827,Jordan,2019,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25.0,-1.0,-1.0
40097,Jordan,2020,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25.0,-1.0,-1.0
8714,Jordan,2015,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
14705,Jordan,2016,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
19780,Jordan,2017,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
26771,Jordan,2018,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
33480,Jordan,2019,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
39541,Jordan,2020,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
42773,Jordan,2021,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54.0,14.0,21.0
8200,Vietnam,2015,15,rock revival & miss me,olymp,pacific sunwear,,,,-1.0,-1.0,-1.0
17779,Vietnam,2016,15,rock revival & miss me,olymp,pacific sunwear,,,,-1.0,-1.0,-1.0
26358,Vietnam,2018,15,rock revival & miss me,olymp,pacific sunwear,,,,-1.0,-1.0,-1.0
33186,Vietnam,2019,15,rock revival & miss me,olymp,pacific sunwear,,,,-1.0,-1.0,-1.0
39357,Vietnam,2020,15,rock revival & miss me,olymp,pacific sunwear,,,,-1.0,-1.0,-1.0
9733,Vietnam,2015,16,nike,carter's,gear for sport,,,,36.0,-1.0,-1.0
15556,Vietnam,2016,16,nike,carter's,gear for sport,,,,36.0,-1.0,-1.0
22768,Vietnam,2017,16,nike,carter's,gear for sport,,,,36.0,-1.0,-1.0
30141,Vietnam,2018,16,nike,carter's,gear for sport,,,,36.0,-1.0,-1.0
37022,Vietnam,2019,16,nike,carter's,gear for sport,,,,36.0,-1.0,-1.0
40556,Vietnam,2020,16,nike,carter's,gear for sport,,,,36.0,-1.0,-1.0
11637,Haiti,2015,18,,,,,,,-1.0,-1.0,-1.0
14410,Haiti,2016,18,,,,,,,-1.0,-1.0,-1.0
9622,Haiti,2015,24,icat de cv,,,,,,-1.0,-1.0,-1.0
14606,Haiti,2016,24,icat de cv,,,,,,-1.0,-1.0,-1.0
21537,Haiti,2017,24,icat de cv,,,,,,-1.0,-1.0,-1.0
28943,Haiti,2018,24,icat de cv,,,,,,-1.0,-1.0,-1.0
35107,Haiti,2019,24,icat de cv,,,,,,-1.0,-1.0,-1.0
41713,Haiti,2021,24,icat de cv,,,,,,-1.0,-1.0,-1.0
9992,Haiti,2015,28,dickies,fishman tobin,strategic patners (spi),,,,-1.0,-1.0,-1.0
15233,Haiti,2016,28,dickies,fishman tobin,strategic patners (spi),,,,-1.0,-1.0,-1.0
20026,Haiti,2017,28,dickies,fishman tobin,strategic patners (spi),,,,-1.0,-1.0,-1.0
27360,Haiti,2018,28,dickies,fishman tobin,strategic patners (spi),,,,-1.0,-1.0,-1.0
34961,Haiti,2019,28,dickies,fishman tobin,strategic patners (spi),,,,-1.0,-1.0,-1.0
41809,Haiti,2021,28,dickies,fishman tobin,strategic patners (spi),,,,-1.0,-1.0,-1.0
9868,Haiti,2015,29,,,,,,,-1.0,-1.0,-1.0
10030,Haiti,2015,31,peace textile amercia inc,bioworld,kohl's,,,,-1.0,-1.0,8.0
15576,Haiti,2016,31,peace textile amercia inc,bioworld,kohl's,,,,-1.0,-1.0,8.0
21199,Haiti,2017,31,peace textile amercia inc,bioworld,kohl's,,,,-1.0,-1.0,8.0
29065,Haiti,2018,31,peace textile amercia inc,bioworld,kohl's,,,,-1.0,-1.0,8.0
34890,Haiti,2019,31,peace textile amercia inc,bioworld,kohl's,,,,-1.0,-1.0,8.0
9530,Haiti,2015,33,gildan,,,,,,33.0,-1.0,-1.0
14358,Haiti,2016,33,gildan,,,,,,33.0,-1.0,-1.0
20301,Haiti,2017,33,gildan,,,,,,33.0,-1.0,-1.0
29004,Haiti,2018,33,gildan,,,,,,33.0,-1.0,-1.0
35668,Haiti,2019,33,gildan,,,,,,33.0,-1.0,-1.0
12894,Haiti,2015,35,,,,,,,-1.0,-1.0,-1.0
12665,Haiti,2015,36,levis,under armour,carhartt,,,,47.0,22.0,-1.0
17654,Haiti,2016,36,levis,under armour,carhartt,,,,47.0,22.0,-1.0
26954,Haiti,2018,36,levis,under armour,carhartt,,,,47.0,22.0,-1.0
33353,Haiti,2019,36,levis,under armour,carhartt,,,,47.0,22.0,-1.0
39334,Haiti,2020,36,levis,under armour,carhartt,,,,47.0,22.0,-1.0
8197,Haiti,2015,36,,,,,,,-1.0,-1.0,-1.0
13317,Jordan,2016,39,under armour,nike,spanx,0.0,1.0,0.0,22.0,36.0,-1.0
17500,Jordan,2016,39,under armour,nike,spanx,0.0,1.0,0.0,22.0,36.0,-1.0
22762,Jordan,2017,39,under armour,nike,spanx,0.0,1.0,0.0,22.0,36.0,-1.0
9626,Haiti,2015,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1.0,-1.0,-1.0
17216,Haiti,2016,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1.0,-1.0,-1.0
24033,Haiti,2017,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1.0,-1.0,-1.0
30421,Haiti,2018,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1.0,-1.0,-1.0
35820,Haiti,2019,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1.0,-1.0,-1.0
12535,Jordan,2015,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1.0,-1.0,-1.0
18022,Jordan,2016,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1.0,-1.0,-1.0
