,QuestID,Country,year,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1BW,buyer2BW,buyer3BW,buyer1FTindex,buyer2FTindex,buyer3FTindex
0,12129,Jordan,2015,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1,-1,-1
1,17215,Jordan,2016,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1,-1,-1
2,22596,Jordan,2017,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1,-1,-1
3,30133,Jordan,2018,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1,-1,-1
4,36539,Jordan,2019,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1,-1,-1
5,41654,Jordan,2021,2,one jeans wear,li & fung,kenneth cole,0.0,1.0,0.0,-1,-1,-1
6,9604,Jordan,2015,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
7,15001,Jordan,2016,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
8,20997,Jordan,2017,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
9,27880,Jordan,2018,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
10,34621,Jordan,2019,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
11,39647,Jordan,2020,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
12,43530,Jordan,2021,4,vf,pvh,colombia,0.0,1.0,1.0,-1,-1,22
13,11315,Jordan,2015,5,walmart,jc penney,hanesbrands,1.0,0.0,0.0,25,16,-1
14,16871,Jordan,2016,5,walmart,jc penney,hanesbrands,1.0,0.0,0.0,25,16,-1
15,22611,Jordan,2017,5,walmart,jc penney,hanesbrands,1.0,0.0,0.0,25,16,-1
16,12189,Jordan,2015,6,gap,express,land's end,1.0,0.0,0.0,54,7,21
17,17635,Jordan,2016,6,gap,express,land's end,1.0,0.0,0.0,54,7,21
18,23533,Jordan,2017,6,gap,express,land's end,1.0,0.0,0.0,54,7,21
19,30785,Jordan,2018,6,gap,express,land's end,1.0,0.0,0.0,54,7,21
20,37243,Jordan,2019,6,gap,express,land's end,1.0,0.0,0.0,54,7,21
21,40925,Jordan,2020,6,gap,express,land's end,1.0,0.0,0.0,54,7,21
22,12742,Jordan,2015,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1,54,-1
23,17245,Jordan,2016,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1,54,-1
24,23068,Jordan,2017,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1,54,-1
25,30170,Jordan,2018,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1,54,-1
26,36597,Jordan,2019,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1,54,-1
27,40058,Jordan,2020,7,nygard international,gap,ann taylor,0.0,1.0,1.0,-1,54,-1
28,10183,Jordan,2015,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25,-1,-1
29,16002,Jordan,2016,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25,-1,-1
30,21357,Jordan,2017,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25,-1,-1
31,28278,Jordan,2018,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25,-1,-1
32,35827,Jordan,2019,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25,-1,-1
33,40097,Jordan,2020,8,walmart,kmart,russell corporation,1.0,0.0,0.0,25,-1,-1
34,8714,Jordan,2015,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
35,14705,Jordan,2016,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
36,19780,Jordan,2017,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
37,26771,Jordan,2018,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
38,33480,Jordan,2019,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
39,39541,Jordan,2020,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
40,42773,Jordan,2021,14,gap,ralph lauren,land's end,1.0,1.0,0.0,54,14,21
41,8200,Vietnam,2015,15,rock revival & miss me,olymp,pacific sunwear,,,,-1,-1,-1
42,17779,Vietnam,2016,15,rock revival & miss me,olymp,pacific sunwear,,,,-1,-1,-1
43,26358,Vietnam,2018,15,rock revival & miss me,olymp,pacific sunwear,,,,-1,-1,-1
44,33186,Vietnam,2019,15,rock revival & miss me,olymp,pacific sunwear,,,,-1,-1,-1
45,39357,Vietnam,2020,15,rock revival & miss me,olymp,pacific sunwear,,,,-1,-1,-1
46,9733,Vietnam,2015,16,nike,carter's,gear for sport,,,,36,-1,-1
47,15556,Vietnam,2016,16,nike,carter's,gear for sport,,,,36,-1,-1
48,22768,Vietnam,2017,16,nike,carter's,gear for sport,,,,36,-1,-1
49,30141,Vietnam,2018,16,nike,carter's,gear for sport,,,,36,-1,-1
50,37022,Vietnam,2019,16,nike,carter's,gear for sport,,,,36,-1,-1
51,40556,Vietnam,2020,16,nike,carter's,gear for sport,,,,36,-1,-1
52,11637,Haiti,2015,18,,,,,,,-2,-2,-2
53,14410,Haiti,2016,18,,,,,,,-2,-2,-2
54,9622,Haiti,2015,24,icat de cv,,,,,,-1,-2,-2
55,14606,Haiti,2016,24,icat de cv,,,,,,-1,-2,-2
56,21537,Haiti,2017,24,icat de cv,,,,,,-1,-2,-2
57,28943,Haiti,2018,24,icat de cv,,,,,,-1,-2,-2
58,35107,Haiti,2019,24,icat de cv,,,,,,-1,-2,-2
59,41713,Haiti,2021,24,icat de cv,,,,,,-1,-2,-2
60,9992,Haiti,2015,28,dickies,fishman tobin,strategic patners (spi),,,,-1,-1,-1
61,15233,Haiti,2016,28,dickies,fishman tobin,strategic patners (spi),,,,-1,-1,-1
62,20026,Haiti,2017,28,dickies,fishman tobin,strategic patners (spi),,,,-1,-1,-1
63,27360,Haiti,2018,28,dickies,fishman tobin,strategic patners (spi),,,,-1,-1,-1
64,34961,Haiti,2019,28,dickies,fishman tobin,strategic patners (spi),,,,-1,-1,-1
65,41809,Haiti,2021,28,dickies,fishman tobin,strategic patners (spi),,,,-1,-1,-1
66,9868,Haiti,2015,29,,,,,,,-2,-2,-2
67,10030,Haiti,2015,31,peace textile amercia inc,bioworld,kohl's,,,,-1,-1,8
68,15576,Haiti,2016,31,peace textile amercia inc,bioworld,kohl's,,,,-1,-1,8
69,21199,Haiti,2017,31,peace textile amercia inc,bioworld,kohl's,,,,-1,-1,8
70,29065,Haiti,2018,31,peace textile amercia inc,bioworld,kohl's,,,,-1,-1,8
71,34890,Haiti,2019,31,peace textile amercia inc,bioworld,kohl's,,,,-1,-1,8
72,9530,Haiti,2015,33,gildan,,,,,,33,-2,-2
73,14358,Haiti,2016,33,gildan,,,,,,33,-2,-2
74,20301,Haiti,2017,33,gildan,,,,,,33,-2,-2
75,29004,Haiti,2018,33,gildan,,,,,,33,-2,-2
76,35668,Haiti,2019,33,gildan,,,,,,33,-2,-2
77,12894,Haiti,2015,35,,,,,,,-2,-2,-2
78,12665,Haiti,2015,36,levis,under armour,carhartt,,,,-1,22,-1
79,17654,Haiti,2016,36,levis,under armour,carhartt,,,,-1,22,-1
80,26954,Haiti,2018,36,levis,under armour,carhartt,,,,-1,22,-1
81,33353,Haiti,2019,36,levis,under armour,carhartt,,,,-1,22,-1
82,39334,Haiti,2020,36,levis,under armour,carhartt,,,,-1,22,-1
83,8197,Haiti,2015,36,,,,,,,-2,-2,-2
84,13317,Jordan,2016,39,under armour,nike,spanx,0.0,1.0,0.0,22,36,-1
85,17500,Jordan,2016,39,under armour,nike,spanx,0.0,1.0,0.0,22,36,-1
86,22762,Jordan,2017,39,under armour,nike,spanx,0.0,1.0,0.0,22,36,-1
87,9626,Haiti,2015,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1,-1,-1
88,17216,Haiti,2016,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1,-1,-1
89,24033,Haiti,2017,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1,-1,-1
90,30421,Haiti,2018,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1,-1,-1
91,35820,Haiti,2019,43,fishman & tobin,augusta/holloway,champro/eastbay,,,,-1,-1,-1
92,12535,Jordan,2015,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1,-1,-1
93,18022,Jordan,2016,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1,-1,-1
94,23418,Jordan,2017,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1,-1,-1
95,30877,Jordan,2018,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1,-1,-1
96,37492,Jordan,2019,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1,-1,-1
97,43045,Jordan,2021,48,jones apparel,supreme international,perry ellis,0.0,0.0,0.0,-1,-1,-1
98,10518,Vietnam,2015,49,eddie bauer,abercrombie & fitch,,,,,-1,14,-2
99,16667,Vietnam,2016,49,eddie bauer,abercrombie & fitch,,,,,-1,14,-2
100,25034,Vietnam,2018,49,eddie bauer,abercrombie & fitch,,,,,-1,14,-2
101,32722,Vietnam,2019,49,eddie bauer,abercrombie & fitch,,,,,-1,14,-2
102,39172,Vietnam,2020,49,eddie bauer,abercrombie & fitch,,,,,-1,14,-2
103,10903,Vietnam,2015,50,target,carter's,land's end,,,,35,-1,21
104,18144,Vietnam,2017,50,target,carter's,land's end,,,,35,-1,21
105,25013,Vietnam,2018,50,target,carter's,land's end,,,,35,-1,21
106,8585,Vietnam,2015,51,american eagle,jockey,charlotte russe,,,,15,-1,-1
107,15134,Vietnam,2016,51,american eagle,jockey,charlotte russe,,,,15,-1,-1
108,24475,Vietnam,2017,51,american eagle,jockey,charlotte russe,,,,15,-1,-1
109,38214,Vietnam,2020,51,american eagle,jockey,charlotte russe,,,,15,-1,-1
110,41665,Vietnam,2021,51,american eagle,jockey,charlotte russe,,,,15,-1,-1
111,10970,Vietnam,2015,53,gap,target,kohl's,,,,54,35,8
112,17752,Vietnam,2016,53,gap,target,kohl's,,,,54,35,8
113,24114,Vietnam,2017,53,gap,target,kohl's,,,,54,35,8
114,37536,Vietnam,2019,53,gap,target,kohl's,,,,54,35,8
115,40921,Vietnam,2020,53,gap,target,kohl's,,,,54,35,8
116,11898,Vietnam,2015,54,buckle,g-star international,pvh,,,,11,45,-1
117,17775,Vietnam,2016,54,buckle,g-star international,pvh,,,,11,45,-1
118,24797,Vietnam,2017,54,buckle,g-star international,pvh,,,,11,45,-1
119,38314,Vietnam,2020,54,buckle,g-star international,pvh,,,,11,45,-1
120,41279,Vietnam,2021,54,buckle,g-star international,pvh,,,,11,45,-1
121,11053,Vietnam,2015,55,gap,victoria secret,kohl's,,,,54,-1,8
122,17173,Vietnam,2016,55,gap,victoria secret,kohl's,,,,54,-1,8
123,22756,Vietnam,2017,55,gap,victoria secret,kohl's,,,,54,-1,8
124,29933,Vietnam,2018,55,gap,victoria secret,kohl's,,,,54,-1,8
125,36550,Vietnam,2019,55,gap,victoria secret,kohl's,,,,54,-1,8
126,40357,Vietnam,2020,55,gap,victoria secret,kohl's,,,,54,-1,8
127,10967,Jordan,2015,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
128,15431,Jordan,2016,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
129,21093,Jordan,2017,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
130,26191,Jordan,2018,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
131,33442,Jordan,2019,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
132,39660,Jordan,2020,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
133,42548,Jordan,2021,59,hanesbrands,fruit of the loom,new balance,0.0,0.0,1.0,-1,-1,29
134,8785,Jordan,2015,60,cintas,standard,,0.0,0.0,,-1,-1,-2
135,14547,Jordan,2016,60,cintas,standard,,0.0,0.0,,-1,-1,-2
136,21036,Jordan,2017,60,cintas,standard,,0.0,0.0,,-1,-1,-2
137,27516,Jordan,2018,60,cintas,standard,,0.0,0.0,,-1,-1,-2
138,34678,Jordan,2019,60,cintas,standard,,0.0,0.0,,-1,-1,-2
139,8886,Jordan,2015,61,hitex,,,0.0,,,-1,-2,-2
140,15050,Jordan,2016,61,hitex,,,0.0,,,-1,-2,-2
141,19397,Jordan,2017,61,hitex,,,0.0,,,-1,-2,-2
142,26366,Jordan,2018,61,hitex,,,0.0,,,-1,-2,-2
143,33567,Jordan,2019,61,hitex,,,0.0,,,-1,-2,-2
144,41657,Jordan,2021,61,hitex,,,0.0,,,-1,-2,-2
145,10607,Vietnam,2015,62,ann taylor,talbots,land's end,,,,-1,-1,21
146,16549,Vietnam,2016,62,ann taylor,talbots,land's end,,,,-1,-1,21
147,22639,Vietnam,2017,62,ann taylor,talbots,land's end,,,,-1,-1,21
148,30765,Vietnam,2018,62,ann taylor,talbots,land's end,,,,-1,-1,21
149,38589,Vietnam,2020,62,ann taylor,talbots,land's end,,,,-1,-1,21
150,41212,Vietnam,2021,62,ann taylor,talbots,land's end,,,,-1,-1,21
151,11487,Vietnam,2015,63,under armour,ralph lauren,j.crew,,,,22,14,13
152,18093,Vietnam,2016,63,under armour,ralph lauren,j.crew,,,,22,14,13
153,24956,Vietnam,2018,63,under armour,ralph lauren,j.crew,,,,22,14,13
154,31632,Vietnam,2019,63,under armour,ralph lauren,j.crew,,,,22,14,13
155,39339,Vietnam,2020,63,under armour,ralph lauren,j.crew,,,,22,14,13
156,41916,Vietnam,2021,63,under armour,ralph lauren,j.crew,,,,22,14,13
157,11639,Haiti,2015,64,gildan,,,,,,33,-2,-2
158,17190,Haiti,2016,64,gildan,,,,,,33,-2,-2
159,22796,Haiti,2017,64,gildan,,,,,,33,-2,-2
160,30391,Haiti,2018,64,gildan,,,,,,33,-2,-2
161,35895,Haiti,2019,64,gildan,,,,,,33,-2,-2
162,10380,Jordan,2015,72,under armour,adidas,,0.0,0.0,,22,58,-2
163,16169,Jordan,2016,72,under armour,adidas,,0.0,0.0,,22,58,-2
164,21386,Jordan,2017,72,under armour,adidas,,0.0,0.0,,22,58,-2
165,28461,Jordan,2018,72,under armour,adidas,,0.0,0.0,,22,58,-2
166,34843,Jordan,2019,72,under armour,adidas,,0.0,0.0,,22,58,-2
167,39725,Jordan,2020,72,under armour,adidas,,0.0,0.0,,22,58,-2
168,8359,Vietnam,2015,74,cato corporation,"charles komar and sons, inc",figs,,,,-1,-1,-1
169,14908,Vietnam,2016,74,cato corporation,"charles komar and sons, inc",figs,,,,-1,-1,-1
170,20447,Vietnam,2017,74,cato corporation,"charles komar and sons, inc",figs,,,,-1,-1,-1
171,27356,Vietnam,2018,74,cato corporation,"charles komar and sons, inc",figs,,,,-1,-1,-1
172,34466,Vietnam,2019,74,cato corporation,"charles komar and sons, inc",figs,,,,-1,-1,-1
173,8689,Vietnam,2015,75,,,,,,,-2,-2,-2
174,18042,Vietnam,2016,75,,,,,,,-2,-2,-2
175,39243,Vietnam,2020,75,,,,,,,-2,-2,-2
176,42177,Vietnam,2021,75,,,,,,,-2,-2,-2
177,11341,Vietnam,2015,77,victoria secret,walmart,kohl's,,,,-1,25,8
178,17170,Vietnam,2016,77,victoria secret,walmart,kohl's,,,,-1,25,8
179,23212,Vietnam,2017,77,victoria secret,walmart,kohl's,,,,-1,25,8
180,30184,Vietnam,2018,77,victoria secret,walmart,kohl's,,,,-1,25,8
181,37200,Vietnam,2019,77,victoria secret,walmart,kohl's,,,,-1,25,8
182,40760,Vietnam,2020,77,victoria secret,walmart,kohl's,,,,-1,25,8
183,9921,Vietnam,2015,78,gap,jc penney,kohl's,,,,54,16,8
184,16137,Vietnam,2016,78,gap,jc penney,kohl's,,,,54,16,8
185,22235,Vietnam,2017,78,gap,jc penney,kohl's,,,,54,16,8
186,30124,Vietnam,2018,78,gap,jc penney,kohl's,,,,54,16,8
187,37127,Vietnam,2019,78,gap,jc penney,kohl's,,,,54,16,8
188,40746,Vietnam,2020,78,gap,jc penney,kohl's,,,,54,16,8
189,12398,Vietnam,2015,80,gap,,,,,,54,-2,-2
190,17845,Vietnam,2016,80,gap,,,,,,54,-2,-2
191,23889,Vietnam,2017,80,gap,,,,,,54,-2,-2
192,30565,Vietnam,2018,80,gap,,,,,,54,-2,-2
193,37614,Vietnam,2019,80,gap,,,,,,54,-2,-2
194,11342,Vietnam,2015,81,walmart,target,,,,,25,35,-2
195,17022,Vietnam,2016,81,walmart,target,,,,,25,35,-2
196,24344,Vietnam,2017,81,walmart,target,,,,,25,35,-2
197,38490,Vietnam,2020,81,walmart,target,,,,,25,35,-2
198,42186,Vietnam,2021,81,walmart,target,,,,,25,35,-2
199,12366,Vietnam,2015,82,ann taylor,kohl's,jc penney,,,,-1,8,16
200,18000,Vietnam,2016,82,ann taylor,kohl's,jc penney,,,,-1,8,16
201,24256,Vietnam,2017,82,ann taylor,kohl's,jc penney,,,,-1,8,16
202,37924,Vietnam,2020,82,ann taylor,kohl's,jc penney,,,,-1,8,16
203,41242,Vietnam,2021,82,ann taylor,kohl's,jc penney,,,,-1,8,16
204,9095,Jordan,2015,83,li & fung,prl,eddie bauer,1.0,1.0,0.0,-1,-1,-1
205,14706,Jordan,2016,83,li & fung,prl,eddie bauer,1.0,1.0,0.0,-1,-1,-1
206,19779,Jordan,2017,83,li & fung,prl,eddie bauer,1.0,1.0,0.0,-1,-1,-1
207,26772,Jordan,2018,83,li & fung,prl,eddie bauer,1.0,1.0,0.0,-1,-1,-1
208,33478,Jordan,2019,83,li & fung,prl,eddie bauer,1.0,1.0,0.0,-1,-1,-1
209,39546,Jordan,2020,83,li & fung,prl,eddie bauer,1.0,1.0,0.0,-1,-1,-1
210,8410,Vietnam,2015,84,puma,levi's,fred perry,,,,56,-1,-1
211,14513,Vietnam,2016,84,puma,levi's,fred perry,,,,56,-1,-1
