"oar_id","name","address","country_code","country_name","lat","lng","contributors","ppe_product_types","ppe_contact_phone","ppe_contact_email","ppe_website","is_closed"
"BD2020021Z37DFJ","ABA Fashions New","521/1, Gacha, Post- Gazipur 1704  Gazipur","BD","Bangladesh",23.9383393,90.367774,"Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|Pimkie [Public List] (Pimkie Facility List June 2019)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|ETAM GROUP (Etam (Jan. 2021 Active Supplier List))|Varner AS (Varner Oct 2020)|OVS Spa (Tier1)","","","","",""
"BD2020021HP7ZNF","ABM Fashions Ltd.","1143 & 1145 , Konabari, Kashimpur Road, Gazipur. 1751 Gazipur","BD","Bangladesh",23.9947543,90.3218591,"Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|Bestseller [Public List] (Bestseller Facility List December 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|ALDI SOUTH Group (represented by HOFER KG) (ALDI SOUTH Group Facility List October 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg","","","","",""
"BD20191816NVST5","Aboni Fashions Ltd","Plot # 23-24, Union: Tetulzhora Hemayetpur, Savar  Dhaka","BD","Bangladesh",23.7927863,90.2760903,"Debenhams [Public List] (Debenhams Facility List December 2018)|BRAC University (Mapped in Bangladesh: Export-oriented RMG Factory List Sep 2019)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|George Clothing by Asda [Public List] (George Clothing [Public List] Tier 1)","","","","",""
"BD2019181TKQ86E","ACS Textiles (Bangladesh) Ltd.","Pre Fabricated Steel Structure & RCC, Teltlabo, Rupgonj, Tarabo","BD","Bangladesh",23.7222893,90.5080634,"Debenhams [Public List] (Debenhams Facility List December 2018)|Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|ZDHC Foundation (ZDHC Registered Facilities 21 February 2020)|A Multi Stakeholder Initiative","","","","",""
"TR2020084RCBVTT","ADA DESIGN ULUSLARARASI TEKS. SAN. VE TIC. A.S.","YAHYA KEMAL BEYATLI CADDESI, NO:28, BUCA 35400, IZMIR","TR","Turkey",38.3815174,27.191063,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR2020084RBF0BK","AGEME TEKSTIL KONF.SAN.TIC.LTD.STI","47007 SOK, SARI HAMZALI MAH NO:14/A, SEYHAN 01110, ADANA","TR","Turkey",36.9915342,35.2154265,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR2020084RJE8C2","AGEME TEKSTIL KONF.SAN.TIC.LTD.STI 2ND BRANCH / OLD CIZGIMTEKS","47083 SOKAK N0: 3/A, SARIHAMZAL MAHALLESI, SEYHAN 01110, ADANA","TR","Turkey",36.9914194,35.3308285,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IN20200843903ZN","AHP APPAREL PVT LTD., UNIT - 45","SURVEY NO 341/1,342,342/2,343/3, K SHETTIHALLY VILLAGE & POST, SRIRANGAPATNA TALUK 571807, MANDYA","IN","India",12.4404703,76.7155817,"PVH [Public List] (PVH  Facility List December 2020)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Worker Rights Consortium|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|PVH (OAR_Contributor_Template)","","","","",""
"IN20193228N8WR3","Ahp Garments Pvt. Ltd. (Unit 54)","Plot No 1/D Rayapur Industrial area Rayapur Village Hubballi Dharward, Hubballi, Karnataka, India","IN","India",15.4174787,75.0612594,"Gap Inc (Gap Inc Facility List - September 2020)|VF Corporation (VF Corporation Factory List May 2020)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg","","","","",""
"TR2019172Y5TA03","Akar Tekstil","10000Sokak No:3 A.O.S.B Çiğli Izmir  Izmir 35620 Izmir","TR","Turkey",38.481995,27.047101,"Agreement on Sustainable Garments and Textile (AGT) (AGT 2019)|Agreement on Sustainable Garments and Textile (AGT) (AGT 2019 )|WE Europe BV (WE production location list November 2020)|C&A (C&A Facility List April 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)|George Clothing by Asda [Public List] (George Clothing [Public List] Tier 1)","","","","",""
"TR2020084KTY0JK","ALARA TEKSTIL SAN DIS TIC LTD STI","TANYELI SOKAK, MAHMUTBEY MAH. TASOCAGI CAD, BAGCILAR 34000, ISTANBUL","TR","Turkey",41.0504198,28.8110752,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"PT2020084WCJA80","ALBERTO SOUSA LDA","LUGAR DA BOCA, AP 97 4815-906, CALDAS DE VIZELA","PT","Portugal",41.375826,-8.3090854,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)","","","","",""
"PT2020084WQ73AV","ALBERTO SOUSA LDA","LUGAR DA BOCA, AP 97 4815-906, CALDAS DE VIZELA","PT","Portugal",41.375826,-8.3090854,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR202008479QRC1","ALDERS TEKSTIL SAN.VE TIC. A.S.","CINAR CAD., DOGU SANAYI SITESI KOYALTI MEVKI, NO:23 YENIBOSNA 34197, ISTANBUL","TR","Turkey",41.02100129999999,28.8128976,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR2020084Q4M3NX","ALDERS TEKSTIL SAN. VE TIC. A.S. AGRI BRANCH","FIRAT MAHALLESI, 943/1 SOKAK A.BLOK, NO:1 AGRI / MERKEZ 40000, AGRI","TR","Turkey",39.7129979,43.0261138,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR202008488JVD0","ALDERS TEKSTIL SAN. VE TIC. A.S. TOKAT BRANCH","BEDESTENLIOGLU OSB MAHALLESI, 4. CADDE NO:24 60030, TOKAT","TR","Turkey",40.3256873,36.5020427,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Higg","","","","",""
"TR2020084GKJATF","ALDERS TEKSTIL SAN.VE TIC.A.S. VIZE BRANCH","ATATURK CADDESI, VIZE 39400, KIRKLARELI","TR","Turkey",41.57308949999999,27.7663747,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"PT2020084RA61NJ","ALIVANA - TEXTEIS, LDA","RUA DA PRAIA QUIAO, 95 AVER-O-MAR 4490-052, POVOA DE VARZIM","PT","Portugal",41.4094931,-8.7761119,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"IT202008470S87W","ALLEVI NATALINA SNC","VIA LEONARDO, 13 24053, BRIGNANO GERA DADDA","IT","Italy",45.5362363,9.6334308,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"BD2020021X0XX15","Alliance Stitches Ltd.","SFB # 4 (1st & 2nd Floor), DEPZ, Ganakbari, Savar  Dhaka","BD","Bangladesh",23.9501366,90.27326210000001,"Accord on Fire and Building Safety in Bangladesh (Factories covered by the Accord on Fire and Building Safety in Bangladesh on 4 February 2021)|H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR20200848M8RSB","ALPHA INSAAT TEKSTIL VE DIS TIC. SAN. LTD. STI","ESMA SERHAT HANIM CADDESI, GIRESUN ORGANIZE SANAYI BOLGESI, NO:18 28100, GIRESUN","TR","Turkey",40.891956,38.418745,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)","","","","",""
"TR2020084KA6NT8","ALPIN CORAP SANAYI VE TICARET A.S","MUSTAFA KURTOGLU CAD., BAKIR VE PIRINC SAN.SIT. NO:18, BEYLIKDUZU 34955, ISTANBUL","TR","Turkey",41.00456,28.66434,"H&M Group (H&M Group Manufacturing Units 23 MARCH 2020)|Partnership for Sustainable Textiles (PST) (PST Nov 2020)|Better Cotton Initiative [Public List] (Better Cotton Initiative June 2020)","","","","",""
