Nike Global Manufacturing Data Export - Filters applied: ((none)),,,,,,,,,,,,,,,,,,
Factory Name,Product Type,"Nike, Inc. Brand(s)",Events,Address,City,State,Postal Code,Country,Operating Region,Total Workers,Line Workers,% Female Workers,% Migrant Workers,Contact Name,Contact Phone,Contact Fax,Contact Email,Subcons
ALL ASIA INDUSTRIAL CO. LTD,Apparel,Cole Haan,,"BLOCK 7B&8C, LIAN HUA SHAN BONDED PROCESSING DISTRICT, PANYU",GUANGZHOU,GUANGDONG,511440,China,Greater China,1838,1700,70,0,,,,,
AYEMEI/ ZHEJIANG SHINDAI GROUP,Apparel,Cole Haan,,"NO 9 NORTH NANSHAN ROAD, FENGHUA",NINGBO,ZHEJIANG,,China,Greater China,725,700,80,0,,,,,
"DISHANG HUAJIN GARMENTS CO., LTD.",Apparel,Cole Haan,,# 220 HUOJU ROAD,WEIHAI,SHANDONG,,China,Greater China,230,210,70,0,,,,,
DONGGUAN HUAXING OPTICAL MFG.CO.LTD,Equipment,Cole Haan,,"HUIHUANG INDUSTRY DISTRICT,HUANGDONG,FENGGANG TOWN,",DONGGUAN,CANTON,523696,China,Greater China,267,145,38,0,,,,,
DONGGUAN PROPERWELL SHOES MFG. LTD.,Footwear,Cole Haan,,"SUANTUN SECTION, GANGKOU ROAD,",DONGGUAN CITY,GUANG DONG PROVINCE,523960,China,Greater China,823,636,44,0,,,,,
K & J SHANGHAI APPAREL,Apparel,Cole Haan,,RENMIN ROAD NEAR TONGYUAN ROAD,HAIMEN,JIANGSU,226100,China,Greater China,780,650,80,0,,,,,
MERIT ASCENT LIMITED,Footwear,Cole Haan,,ZHUYUAN AREA LIAO BU COUNTY,DONG GUAN CITY,GUANG DONG PROVINCE,523412,China,Greater China,1000,900,50,0,,,,,
PANYU SIMONE HANDBAG LTD.,Equipment,Cole Haan,,"NO.1 SIMONE ROAD, JINSHAN HIGHWAY, MEISHAN CUN,  HUALONG TOWN, PANYU",GUANGZHOU,GUANGDONG,511434,China,Greater China,4200,3900,75,0,,,,,
QINGDAO TAEHO GARMENT CO LTD,Apparel,Cole Haan,,"NO. 97 ZHUSHANXI 5 ROAD, BINHAI STREET OFFICE",JIAONAN CITY,QINGDAO,,China,Greater China,200,184,65,0,,,,,
RICHINA INTERNATIONAL CORP.,Footwear,Cole Haan,,"TUHU INDUSTRY AREA, DANSHUI TOWN",HUIZHOU CITY,GUANGDONG,,China,Greater China,4650,4128,47,0,,,,,
