Country,CoreFabricMillList 1March2023,Uniqlo-CoreFabricMillList 3-1-2022,CoreFabricMillList 1Sept2022,CoreSewingFactoryList March 2021,CoreSewingFactoryList_20190329,CoreSewingFactoryList_20200329,GarmentProcessingFtyList 1Sept2022,GarmentProcessingFtyList March 2022,GU Core Partner Factory List_20171215,GUCorePartnerFactoryList_20171215,UniqloCorePartnerFactoryList_20180330
Bangladesh,7.0,4.0,4.0,23.0,24.0,24.0,41.0,41.0,13.0,13.0,10.0
Bulgaria,,,,2.0,,,,,,,
Cambodia,,,,16.0,10.0,9.0,28.0,28.0,7.0,7.0,5.0
China,72.0,49.0,47.0,167.0,128.0,134.0,302.0,312.0,26.0,26.0,110.0
Country,1.0,1.0,,,,,,,,,
France,2.0,2.0,2.0,,,,,,,,
India,6.0,1.0,1.0,9.0,6.0,8.0,14.0,17.0,,,
Indonesia,9.0,8.0,7.0,19.0,17.0,14.0,23.0,23.0,5.0,5.0,16.0
Italy,29.0,1.0,1.0,2.0,,,6.0,6.0,,,
Japan,13.0,6.0,6.0,1.0,2.0,2.0,19.0,22.0,,,2.0
Korea,,1.0,1.0,,,,,,,,
Madagascar,,,,2.0,,,2.0,2.0,,,
Malaysia,2.0,2.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,
Morocco,,,,1.0,,,2.0,2.0,,,
Myanmar,,,,5.0,4.0,6.0,5.0,5.0,4.0,4.0,
Pakistan,,,,,,,1.0,1.0,,,
Peru,,,,5.0,,,4.0,4.0,,,
Philippines,,,,,,,1.0,1.0,,,
Portugal,1.0,1.0,1.0,8.0,,,14.0,16.0,,,
Romania,,,,1.0,,,1.0,1.0,,,
South Korea,2.0,,,,,,,,,,
Sri Lanka,,,,2.0,2.0,2.0,,,,,
Thailand,7.0,5.0,5.0,5.0,3.0,3.0,7.0,7.0,1.0,1.0,2.0
Tunisia,,,,2.0,,,2.0,2.0,,,
Turkey,1.0,1.0,1.0,6.0,,,11.0,13.0,,,
United States,,,,,,,1.0,1.0,,,
Vietnam,11.0,10.0,10.0,52.0,44.0,43.0,66.0,70.0,6.0,6.0,39.0
