Country,2009,2012 All
Argentina,,22.0
Australia,,4.0
Bangladesh,2.0,9.0
Belgium,,1.0
Bosnia,,1.0
Brazil,,54.0
Bulgaria,,1.0
Cambodia,2.0,3.0
Canada,1.0,6.0
Chile,,2.0
China,30.0,289.0
Dominican Republic,,2.0
Ecuador,,1.0
Egypt,,4.0
El Salvador,1.0,5.0
Guatemala,,5.0
Holland,,5.0
Honduras,2.0,7.0
Hong Kong,2.0,2.0
Hungary,,1.0
India,,34.0
Indonesia,14.0,43.0
Isarel,1.0,
Israel,,2.0
Italy,,12.0
Japan,,25.0
Korea,1.0,27.0
Macau,,1.0
Malaysia,1.0,25.0
Mexico,6.0,32.0
Moldova,,4.0
Pakistan,,10.0
Paraguay,,1.0
Peru,,7.0
Philippines,,5.0
Poland,,3.0
Portugal,,5.0
Romania,,1.0
Singapore,,1.0
South Africa,,6.0
Spain,,3.0
Sri Lanka,,20.0
Taiwan,11.0,19.0
Thailand,9.0,42.0
Turkey,,14.0
UK,,3.0
USA,36.0,55.0
Ukraine,,1.0
Vietnam,19.0,66.0
