conveyor,pairs,sales,numBuyers,numStyles,numArtno,numBatches
A-1,31051,383951.64494132996,2.0,23.0,10.0,42.0
A-2,15368,225185.09918785095,2.0,14.0,6.0,22.0
A-3,41913,732464.6622161865,2.0,13.0,11.0,55.0
A-4,19698,345787.6517057419,3.0,27.0,13.0,54.0
B-1,13301,265554.8929386139,2.0,23.0,18.0,37.0
B-2,13593,188553.4467277527,3.0,14.0,10.0,18.0
B-3,13060,247815.10738372803,3.0,16.0,10.0,48.0
B-4,20454,325605.59756565094,2.0,11.0,11.0,18.0
C-1,21520,335088.82450294495,4.0,25.0,20.0,29.0
C-2,26695,428045.1697483063,1.0,15.0,8.0,24.0
C-3,14368,242096.52185440063,2.0,13.0,9.0,16.0
C-4,19168,312034.06355285645,1.0,11.0,6.0,14.0
C-5,17322,269894.9586658478,1.0,13.0,5.0,14.0
C-6,9089,133445.7783164978,1.0,8.0,3.0,10.0
P-1,2540,14317.779655456543,1.0,1.0,1.0,2.0
P-2,898,3524.2110018730164,1.0,2.0,2.0,3.0
P-3,9300,74594.99759674072,1.0,3.0,2.0,4.0
P-4,5808,45096.47940444946,2.0,3.0,3.0,4.0
