conveyor,batches,allvalue,allps,numbuyers,numstyles,numartno,2022Jan,conveyor,month,allps,totalPairSale,numbuyers,numstyles,numartno,numbatches,pschange,stylesch,artnoch,batchch
A-1,42,383951.7,31051,2,23,10,,A-1,1,24822,418287.4399,4,13,9,20,-20.06054555,-10,-1,-22
A-2,22,225185.1,15368,2,14,6,,A-2,1,13718,243831.3204,2,5,2,7,-10.73659552,-9,-4,-15
A-3,55,732464.7,41913,2,13,11,,A-3,1,19699,319990.7446,1,9,8,23,-53.00026245,-4,-3,-32
A-4,54,345787.7,19698,3,27,13,,A-4,1,21984,336673.8636,2,15,9,30,11.60523911,-12,-4,-24
B-1,37,265554.9,13301,2,23,18,,B-1,1,25632,444662.7993,3,30,26,38,92.70731524,7,8,1
B-2,18,188553.5,13593,3,14,10,,B-2,1,11390,184707.3497,3,9,6,24,-16.20687118,-5,-4,6
B-3,48,247815.1,13060,3,16,10,,B-3,1,15720,271773.0476,3,16,11,28,20.36753446,0,1,-20
B-4,18,325605.6,20454,2,11,11,,B-4,1,31794,537952.8198,4,14,12,28,55.44147844,3,1,10
C-1,29,335088.8,21520,4,25,20,,C-1,1,22316,367175.0297,5,19,14,26,3.698884758,-6,-6,-3
C-2,24,428045.2,26695,1,15,8,,C-2,1,31344,504017.4168,1,15,8,26,17.4152463,0,0,2
C-3,16,242096.5,14368,2,13,9,,C-3,1,22464,365745.4423,1,23,14,35,56.34743875,10,5,19
C-4,14,312034.1,19168,1,11,6,,C-4,1,11371,187099.3085,1,7,7,9,-40.67717028,-4,1,-5
C-5,14,269895,17322,1,13,5,,C-5,1,18810,285623.7902,1,14,5,21,8.590232075,1,0,7
C-6,10,133445.8,9089,1,8,3,,C-6,1,16570,257617.8107,1,11,8,21,82.30828474,3,5,11
