conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,cus6,cus6ps,numbuyers,cus1share,allps,avgprice,minprice,maxprice,cus1price,cus2price,cus3price,numstyles,numartno,numbatches,pschange,stylesch,artnoch
A-1,1,1119218.3,126,8882.684921,,Curfu,14562,Bull,5832,Rhino,4344,TAMPA,84,,,,,4,58.66569978,24822,16.85148014,15.20823026,19.62999916,16.67745122,15.20823026,19.62999916,13,9,20,,,
A-1,2,1059743.7,114,9295.997368,0.095238095,Rhino,15436,Curfu,4114,Bull,1368,,,,,,,3,73.79290563,20918,17.61691853,13.68432219,18.87884171,18.87884171,13.68432219,15.20438577,16,9,33,-15.72798324,23.07692308,0
A-1,3,1042766.2,117,8912.531624,0,Curfu,18015,Rhino,12421,Sparky,1014,,,,,,,3,57.28139905,31450,17.44903255,16.42075736,19.02327138,16.42075736,19.02327138,16.43400002,14,8,29,50.34898174,-12.5,-11.11111111
A-1,4,1003444.4,116,8650.382759,0.008547009,Rhino,29389,Curfu,2766,Bull,108,Curfu,1000,,,,,3,91.09196293,32263,20.02600541,17.57272186,21.45000076,20.25166776,17.57272186,21.45000076,17,9,64,2.585055644,21.42857143,12.5
A-1,5,1042253.3,117,8908.147863,0,Rhino,30698,Curfu,4114,Sparky,1014,,,Bull,552,,,1,100,30698,21.46091297,21.46091297,21.46091297,21.46091297,,,10,5,28,-4.850757834,-41.17647059,-44.44444444
A-1,6,1056822.5,120,8806.854167,0,Rhino,11766,Curfu,10668,Sparky,600,,,,,Lamby,61,3,51.08101068,23034,23.54963754,13.42032528,26.2925571,21.57922462,26.2925571,13.42032528,11,8,14,-24.96579582,10,60
A-1,7,1157920,125,9263.36,0,Rhino,24453,Curfu,13087,Bull,6453,Crown,4073,,,,,4,50.87379853,48066,22.2660872,17.02612815,26.96312568,21.91804955,26.96312568,17.02612815,25,13,54,108.6741339,127.2727273,62.5
A-1,8,1158070.4,123,9415.206504,0.016,Crown,20157,Rhino,19656,Bull,6828,,,,,,,3,43.21734097,46641,19.85665097,17.52475862,21.69314705,17.52475862,21.69314705,21.45386643,18,11,31,-2.964673574,-28,-15.38461538
A-1,9,1130169.7,123,9188.371545,0,Crown,16462,Rhino,2000,Curfu,1020,,,,,,,3,84.49851145,19482,18.12173804,17.72504569,20.89999962,17.72504569,19.96999931,20.89999962,23,8,35,-58.22988358,27.77777778,-27.27272727
A-2,1,945268.5,107,8834.285047,,Rhino,7506,Curfu,6212,,,,,,,,,2,54.71643097,13718,17.77455317,13.97388921,20.92000008,20.92000008,13.97388921,,5,2,7,,,
