conveyor,month,all_salary,workers,avg_pay,attrition,cus1,cus1ps,cus2,cus2ps,cus3,cus3ps,cus4,cus4ps,cus5,cus5ps,allps,cus1price,cus2price,cus3price,totalPairNum,avgprice,minprice,maxprice,numbuyers,numstyles,numartno,numbatches,cus6,cus6ps,cus1share,pschange,stylesch,artnoch,mbordering,mbleadtime,mbpricing,mbpay
A-1,1,1119218.3,126,8882.684921,,Curfu,12579.0,Rhino,11962.0,Bull,1632.0,TAMPA,84.0,,,26257.0,16.868685594451513,19.238028719400884,15.223896868088666,468625.1753292084,17.84762826405181,15.223896868088666,19.238028719400884,4.0,23.0,15.0,32.0,,,47.90722474006932,,,,,,,
A-1,2,1059743.7,114,9295.997368,0.09523809523809523,Rhino,18270.0,Curfu,8524.0,Bull,5568.0,Sparky,1014.0,,,33376.0,18.353362486515138,16.10834113245892,15.202693774782379,573936.1073951721,17.196072249375963,15.202693774782379,18.353362486515138,4.0,20.0,13.0,46.0,,,54.73993288590604,27.112769928019187,-3.0,-2.0,3,2,3,1
A-1,3,1042766.2,117,8912.531624,0.0,Curfu,21435.0,Rhino,14011.0,Bull,945.0,,,,,36391.0,16.53494018321552,19.7275563511567,21.200000762939453,650863.235584259,17.885280305137506,16.53494018321552,21.200000762939453,3.0,15.0,6.0,30.0,,,58.9019263004589,9.0334372003835,-5.0,-7.0,,,,
A-1,4,1003444.4,116,8650.382759,0.008547008547008517,Rhino,21595.0,Curfu,146.0,Bull,108.0,,,,,21849.0,21.188931326171705,16.983903532158838,21.450000762939453,462371.22198677063,21.162122842545227,16.983903532158838,21.450000762939453,3.0,14.0,8.0,56.0,,,98.83747539933178,-39.96042977659311,-1.0,2.0,3,2,3,1
A-1,5,1042253.3,117,8908.147863,0.0,Rhino,21284.0,,,,,,,,,21284.0,21.15228735273706,,,450205.2840156555,21.15228735273706,21.15228735273706,21.15228735273706,1.0,9.0,5.0,19.0,,,100.0,-2.585930706210815,-5.0,-3.0,3,2,3,1
A-1,6,1056822.5,120,8806.854167,0.0,Rhino,21760.0,Curfu,10012.0,,,,,,,31772.0,21.663771938050495,27.181705820812876,,743546.9160499573,23.402584541418772,21.663771938050495,27.181705820812876,2.0,14.0,7.0,24.0,,,68.48797683494901,49.276451794775426,5.0,2.0,3,2,3,1
A-1,7,1157920.0,125,9263.36,0.0,Rhino,21335.0,Curfu,9893.0,Bull,144.0,,,,,31372.0,22.226168630495824,27.542927922366736,20.200000762939453,749586.2937774658,23.8934812500786,20.200000762939453,27.542927922366736,3.0,14.0,8.0,22.0,,,68.00650261379573,-1.258970162407147,0.0,1.0,3,2,3,1
A-1,8,1158070.4,123,9415.206504,0.016000000000000014,Rhino,15786.0,Crown,15198.0,Bull,12192.0,Curfu,3050.0,,,46226.0,21.502576719985086,17.437913441598408,19.144833012828677,914124.8886795044,19.77512414397751,17.437913441598408,25.0,4.0,20.0,12.0,35.0,,,34.14961277203305,47.34795358918782,6.0,4.0,3,2,3,1
A-1,9,1130169.7,123,9188.371545,0.0,Crown,27130.0,Rhino,3914.0,,,,,,,31044.0,17.724889182763217,21.19898799492744,,563849.0825405121,18.16290048126891,17.724889182763217,21.19898799492744,2.0,27.0,8.0,48.0,,,87.39208864837006,-32.84298879418509,7.0,-4.0,3,2,3,2
A-2,1,945268.5,107,8834.285047,,Rhino,14764.0,Bull,10590.0,Curfu,9212.0,,,,,34566.0,17.558724018526867,17.5,13.884693791749319,572467.8006191254,16.561586548027698,13.884693791749319,17.558724018526867,3.0,15.0,6.0,37.0,,,42.712492044205284,,,,3,2,3,1
A-2,2,1049415.4,122,8601.765574,0.0,Bull,6684.0,Rhino,3349.0,Curfu,168.0,,,,,10201.0,15.234380703212114,15.337834963908158,20.899999618530273,156704.20985031128,15.361651784169325,15.234380703212114,20.899999618530273,3.0,11.0,8.0,25.0,,,65.5229879423586,-70.48834114447725,-4.0,2.0,3,2,2.5,2
A-2,3,1168824.7,141,8289.536879,0.0,Rhino,10977.0,Bull,1776.0,,,,,,,12753.0,20.548144362669365,15.189864674130002,,252534.1803302765,19.801943098116247,15.189864674130002,20.548144362669365,2.0,12.0,6.0,31.0,,,86.07386497294755,25.017155180864627,1.0,-2.0,3,2,3,1
A-2,4,1100803.0,128,8600.023438,0.09219858156028371,Rhino,10453.0,Bull,9720.0,Curfu,600.0,,,,,20773.0,20.871344359516584,16.13061765976894,25.299999237060547,390137.7657852173,18.781002541049308,16.13061765976894,25.299999237060547,3.0,18.0,9.0,45.0,,,50.32012708804699,62.887163804595005,6.0,3.0,3,2,3,1
A-2,5,1077071.4,132,8159.631818,0.0,Curfu,12822.0,Rhino,4656.0,Bull,3072.0,,,,,20550.0,31.774418335365553,20.741804771816607,14.704882621765137,549158.8343276978,26.723057631518138,14.704882621765137,31.774418335365553,3.0,12.0,6.0,20.0,,,62.394160583941606,-1.0735088817214633,-6.0,-3.0,,,,
A-2,6,1078728.5,134,8050.212687,0.0,Curfu,23653.0,Bull,5256.0,Sparky,2339.0,,,,,31248.0,33.468568949529455,17.25,15.870260238647461,919418.6000614166,29.423278291776004,15.870260238647461,33.468568949529455,3.0,12.0,6.0,20.0,,,75.69444444444444,52.05839416058393,0.0,0.0,,,,
A-2,7,1003139.6,124,8089.835484,0.07462686567164178,Curfu,9614.0,Rhino,7850.0,,,,,,,17464.0,30.153391621230373,20.676578436201545,,452205.8477706909,25.89360099465706,20.676578436201545,30.153391621230373,2.0,13.0,10.0,16.0,,,55.05038937242327,-44.111623143881204,1.0,4.0,,,,
A-2,8,960475.1,111,8652.928829,0.10483870967741937,Curfu,17660.0,Rhino,3023.0,Bull,357.0,,,,,21040.0,32.82646680618061,23.43662267389023,21.86554669933159,658370.3143119812,31.291364748668308,21.86554669933159,32.82646680618061,3.0,14.0,11.0,26.0,,,83.93536121673004,20.47640861200184,1.0,1.0,,,,
A-2,9,1014877.0,121,8387.413223,0.0,Rhino,13380.0,Bull,7413.0,Crown,1004.0,,,,,21797.0,22.488022451015865,19.893727553030683,10.25,458652.94274520874,21.042021505033205,10.25,22.488022451015865,3.0,15.0,9.0,18.0,,,61.38459421021242,3.597908745247147,1.0,-2.0,3,2,3,1
A-3,1,1047163.6,120,8726.363333,,Bull,16393.0,Rhino,9798.0,,,,,,,26191.0,15.858566165733954,20.684979704502382,,462640.90629959106,17.664117685448858,15.858566165733954,20.684979704502382,2.0,13.0,11.0,37.0,,,62.590202741399715,,,,3,2,2.5,2
A-3,2,1001407.0,110,9103.7,0.08333333333333337,Bull,19989.0,Rhino,12642.0,,,,,,,32631.0,15.994124004473365,21.200000762939453,,587716.9543704987,18.01100040974836,15.994124004473365,21.200000762939453,2.0,9.0,8.0,27.0,,,61.25769973338237,24.588599137108158,-4.0,-3.0,3,2,2.5,2
A-3,3,974002.1,111,8774.793694,0.0,Bull,5112.0,Rhino,1050.0,,,,,,,6162.0,16.92100973084499,21.543257642473492,,109120.62226867676,17.708637174403886,16.92100973084499,21.543257642473492,2.0,11.0,9.0,14.0,,,82.96007789678676,-81.11611657626183,2.0,1.0,3,2,2.5,2
A-3,4,1008164.8,112,9001.471429,0.0,Bull,40452.0,,,,,,,,,40452.0,17.18140702854452,,,695022.2771186829,17.18140702854452,17.18140702854452,17.18140702854452,1.0,16.0,13.0,31.0,,,100.0,556.475170399221,5.0,4.0,3,2,2.5,2
A-3,5,966849.0,109,8870.174312,0.0267857142857143,Bull,24009.0,,,,,,,,,24009.0,17.624001287660285,,,423134.6469154358,17.624001287660285,17.624001287660285,17.624001287660285,1.0,6.0,6.0,11.0,,,100.0,-40.648175615544346,-10.0,-7.0,3,2,2.5,2
A-3,6,964045.8,109,8844.456881,0.0,Bull,12612.0,Rhino,3450.0,,,,,,,16062.0,17.33325428422806,22.16561731753142,,295078.3827781677,18.371210483013805,17.33325428422806,22.16561731753142,2.0,20.0,14.0,47.0,,,78.52073216286888,-33.1000874671998,14.0,8.0,3,2,2.5,2
