QuestID,repriskid,AssessmentDate,RRIc3Yr,RRIc5Yr,RRIc2010
12129,106981.0,20151019,1,1,1
17215,106981.0,20161016,0,1,1
22596,106981.0,20170927,0,1,1
30133,106981.0,20181016,0,0,1
36539,106981.0,20191014,0,0,1
41654,106981.0,20210222,0,0,1
9604,106982.0,20150601,1,1,1
15001,106982.0,20160530,0,1,1
20997,106982.0,20170612,0,1,1
27880,106982.0,20180624,0,0,1
34621,106982.0,20190630,0,0,1
39647,106982.0,20200719,0,0,1
43530,106982.0,20210816,0,0,1
11315,2747.0,20150913,1,9,9
16871,2747.0,20160924,0,2,9
22611,2747.0,20170910,0,1,9
12189,,20151111,-1,-1,-1
17635,,20161120,-1,-1,-1
23533,,20171112,-1,-1,-1
30785,,20181121,-1,-1,-1
37243,,20191117,-1,-1,-1
40925,,20201220,-1,-1,-1
12742,,20150929,-1,-1,-1
17245,,20161016,-1,-1,-1
23068,,20171009,-1,-1,-1
30170,,20181010,-1,-1,-1
36597,,20191009,-1,-1,-1
40058,,20200915,-1,-1,-1
10183,,20150729,-1,-1,-1
16002,,20160815,-1,-1,-1
21357,,20170718,-1,-1,-1
28278,,20180715,-1,-1,-1
35827,,20190821,-1,-1,-1
40097,,20200916,-1,-1,-1
8714,2298489.0,20150420,0,0,0
14705,2298489.0,20160509,0,0,0
19780,2298489.0,20170424,0,0,0
26771,2298489.0,20180415,0,0,0
33480,2298489.0,20190422,0,0,0
39541,2298489.0,20200628,0,0,0
42773,2298489.0,20210615,2,2,2
8200,2386308.0,20150129,-1,-1,-1
17779,2386308.0,20161130,-1,-1,-1
26358,2386308.0,20180403,-1,-1,-1
33186,2386308.0,20190402,-1,-1,-1
39357,2386308.0,20200512,-1,-1,-1
9733,2233758.0,20150630,-1,-1,-1
15556,2233758.0,20160712,-1,-1,-1
22768,2233758.0,20171010,-1,-1,-1
30141,2233758.0,20181004,-1,-1,-1
37022,2233758.0,20191030,-1,-1,-1
40556,2233758.0,20201028,-1,-1,-1
11637,118363.0,20151013,1,1,1
14410,118363.0,20160510,1,1,1
9622,,20150623,-1,-1,-1
14606,,20160420,-1,-1,-1
21537,,20170627,-1,-1,-1
28943,,20180724,-1,-1,-1
35107,,20190724,-1,-1,-1
41713,,20210210,-1,-1,-1
9992,,20150721,-1,-1,-1
15233,,20160621,-1,-1,-1
20026,,20170425,-1,-1,-1
27360,,20180515,-1,-1,-1
34961,,20190626,-1,-1,-1
