QuestID,AssessmentDate,quarter,buyer1FTindexband,buyer2FTindexband,buyer3FTindexband,FTindmax,FTmaxbuyer
8009,06/01/2015,2015Q1,0,2,0,2,2
8032,13/01/2015,2015Q1,0,0,0,0,1
8051,14/01/2015,2015Q1,0,0,0,0,1
8055,08/01/2015,2015Q1,0,3,0,3,2
8062,15/01/2015,2015Q1,0,0,0,0,1
8064,15/01/2015,2015Q1,6,0,0,6,1
8069,06/01/2015,2015Q1,6,4,6,6,1
8086,14/01/2015,2015Q1,0,0,0,0,1
8122,22/01/2015,2015Q1,0,0,0,0,1
8131,28/01/2015,2015Q1,6,6,0,6,1
8139,19/01/2015,2015Q1,4,1,3,4,1
8141,13/01/2015,2015Q1,6,5,0,6,1
8145,15/01/2015,2015Q1,0,0,0,0,1
8162,06/01/2015,2015Q1,2,1,1,2,1
8173,14/01/2015,2015Q1,0,0,0,0,1
8191,13/01/2015,2015Q1,0,0,0,0,1
8197,10/02/2015,2015Q1,0,0,0,0,1
8200,29/01/2015,2015Q1,0,0,0,0,1
8208,13/01/2015,2015Q1,2,1,0,2,1
8209,13/01/2015,2015Q1,0,0,0,0,1
8210,29/01/2015,2015Q1,0,0,0,0,1
8212,18/01/2015,2015Q1,0,0,0,0,1
8214,14/01/2015,2015Q1,0,0,0,0,1
8217,03/02/2015,2015Q1,0,0,0,0,1
8218,26/01/2015,2015Q1,4,1,3,4,1
8227,26/01/2015,2015Q1,6,6,0,6,1
8228,20/01/2015,2015Q1,0,4,2,4,2
8239,26/01/2015,2015Q1,0,6,6,6,2
8244,26/01/2015,2015Q1,0,0,0,0,1
8258,28/01/2015,2015Q1,0,0,0,0,1
8262,27/01/2015,2015Q1,0,0,0,0,1
8263,14/01/2015,2015Q1,4,4,4,4,1
8271,13/01/2015,2015Q1,0,0,0,0,1
8274,20/01/2015,2015Q1,0,0,0,0,1
8279,27/01/2015,2015Q1,0,0,0,0,1
8286,27/01/2015,2015Q1,2,0,2,2,1
8294,21/01/2015,2015Q1,0,0,0,0,1
8297,03/02/2015,2015Q1,1,3,4,4,3
8305,11/02/2015,2015Q1,0,0,0,0,1
8307,27/01/2015,2015Q1,6,0,6,6,1
8308,27/01/2015,2015Q1,6,4,0,6,1
8311,12/02/2015,2015Q1,0,0,0,0,1
8317,06/01/2015,2015Q1,2,0,6,6,3
8322,11/02/2015,2015Q1,0,6,0,6,2
8325,14/01/2015,2015Q1,4,1,0,4,1
8327,03/02/2015,2015Q1,0,0,0,0,1
8336,10/02/2015,2015Q1,6,0,0,6,1
8347,12/02/2015,2015Q1,0,0,0,0,1
8350,11/02/2015,2015Q1,0,0,0,0,1
8359,03/02/2015,2015Q1,0,0,0,0,1
8363,26/02/2015,2015Q1,3,0,0,3,1
8372,24/02/2015,2015Q1,4,6,3,6,2
8373,08/02/2015,2015Q1,3,0,0,3,1
8375,25/02/2015,2015Q1,0,0,0,0,1
8377,08/03/2015,2015Q1,3,0,0,3,1
8378,02/03/2015,2015Q1,0,0,0,0,1
8385,23/02/2015,2015Q1,6,0,0,6,1
8400,24/02/2015,2015Q1,1,0,6,6,3
8403,27/01/2015,2015Q1,4,6,3,6,2
8404,24/02/2015,2015Q1,2,4,1,4,2
8410,03/03/2015,2015Q1,6,0,0,6,1
8411,12/01/2015,2015Q1,0,2,0,2,2
8412,12/01/2015,2015Q1,6,2,0,6,1
8431,03/03/2015,2015Q1,0,0,0,0,1
8435,03/03/2015,2015Q1,0,0,0,0,1
8439,03/03/2015,2015Q1,3,1,0,3,1
8441,10/03/2015,2015Q1,3,2,0,3,1
8443,02/03/2015,2015Q1,0,0,0,0,1
8444,09/03/2015,2015Q1,4,0,0,4,1
8446,24/02/2015,2015Q1,0,0,3,3,3
8468,03/03/2015,2015Q1,0,0,0,0,1
8471,04/03/2015,2015Q1,0,0,0,0,1
8476,05/03/2015,2015Q1,0,0,0,0,1
8481,11/03/2015,2015Q1,0,0,0,0,1
8482,10/03/2015,2015Q1,0,0,0,0,1
8488,24/03/2015,2015Q1,0,0,0,0,1
8490,11/03/2015,2015Q1,6,2,2,6,1
8499,11/03/2015,2015Q1,0,0,2,2,3
8505,11/03/2015,2015Q1,1,2,6,6,3
8514,24/03/2015,2015Q1,4,3,0,4,1
8522,24/03/2015,2015Q1,0,0,0,0,1
8523,24/03/2015,2015Q1,0,0,0,0,1
8554,01/04/2015,2015Q2,0,4,6,6,3
8571,10/03/2015,2015Q1,2,0,0,2,1
8577,24/03/2015,2015Q1,1,0,0,1,1
8585,31/03/2015,2015Q1,2,0,0,2,1
8603,24/03/2015,2015Q1,1,4,6,6,3
8608,29/03/2015,2015Q1,0,0,0,0,1
8616,24/03/2015,2015Q1,0,2,3,3,3
8617,31/03/2015,2015Q1,0,6,0,6,2
8636,06/04/2015,2015Q2,0,0,0,0,1
8639,30/03/2015,2015Q1,2,6,0,6,2
