factorycode,year,month,Volume_pairs,Customer_Target,NB_Requested,Orig_Confirmed,turnover
PYV,2021,1,646956,15%,70%,71%,0.0164
PYV,2021,2,320616,23%,86%,97%,0.0107
PYV,2021,3,330906,33%,92%,92%,0.0246
PYV,2021,4,452572,36%,46%,49%,0.0123
PYV,2021,5,436416,44%,26%,24%,0.0268
PYV,2021,6,507084,49%,29%,31%,0.0164
PYV,2021,7,158757,56%,32%,32%,0.0165
PYV,2021,8,,0%,0%,0%,0.0166
PYV,2021,9,1272,0%,0%,1%,0.0004
PYV,2021,10,100830,0%,0%,12%,0.004
PYV,2021,11,263874,0%,0%,5%,0.0132
PYV,2021,12,327994,0%,0%,13%,0.0348
PYV,2022,1,426554,3%,7%,49%,0.0336
PYV,2022,2,407694,16%,28%,65%,0.017
PYV,2022,3,449154,31%,44%,73%,0.0213
PYV,2022,4,436266,49%,70%,79%,0.0318
PYV,2022,5,695976,67%,76%,85%,0.025
PYV,2022,6,405480,58%,88%,99%,0.0202
PYV,2022,7,608652,60%,85%,95%,0.0232
PYV,2022,8,416292,58%,98%,99%,0.0146
PYV,2022,9,489570,59%,97%,100%,0.0165
PYV,2022,10,572340,51%,95%,97%,0.0165
PYV,2022,11,429954,40%,88%,99%,0.0139
PYV,2022,12,438342,60%,97%,98%,0.0166
PYV,2023,1,453678,61%,92%,96%,0.0171
PYV,2023,2,249552,61%,92%,100%,0.0191
PYV,2023,3,285960,62%,84%,97%,0.0149
PYV,2023,4,417240,66%,97%,99%,0.0114
PYV,2023,5,512106,74%,97%,100%,0.0113
PYV,2023,6,480306,73%,95%,97%,0.0075
PYV,2023,7,629400,63%,95%,97%,0.0075
PYV,2023,8,403608,82%,99%,100%,0.0091
PYV,2023,9,485619,98%,100%,100%,0.0059
PYV,2023,10,528470,97%,98%,99%,0.0072
PYV,2023,11,544228,95%,99%,99%,0.0033
PYV,2023,12,476598,94%,95%,95%,0.0097
PYV,2024,1,634992,95%,98%,97%,
PYV,2024,2,322380,99%,97%,100%,
PYV,2024,3,462120,95%,98%,98%,
PYV,2024,4,506217,84%,90%,99%,
PYV,2024,5,,,,,
PYV,2024,6,,,,,
PYV,2024,7,,,,,
PYV,2024,8,,,,,
PYV,2024,9,,,,,
PYV,2024,10,,,,,
PYV,2024,11,,,,,
PYV,2024,12,,,,,
PHV,2021,1,965148,46%,94%,98%,0.015400411
PHV,2021,2,425352,19%,100%,100%,0.015127038
PHV,2021,3,710676,23%,99%,99%,0.050059242
PHV,2021,4,888300,38%,92%,92%,0.030541142
PHV,2021,5,773238,60%,73%,73%,0.035178777
PHV,2021,6,927558,55%,65%,65%,0.027393268
PHV,2021,7,509742,79%,86%,86%,0.015903122
PHV,2021,8,19050,0%,0%,0%,
PHV,2021,9,4062,0%,0%,0%,
PHV,2021,10,223850,0%,0%,0%,0.003725903
PHV,2021,11,647788,2%,0%,2%,0.065433855
PHV,2021,12,734751,2%,1%,7%,0.044108073
PHV,2022,1,665412,5%,10%,30%,0.027464677
PHV,2022,2,800495,11%,25%,68%,0.026574957
PHV,2022,3,678955,48%,69%,91%,0.036886527
PHV,2022,4,828100,65%,84%,91%,0.027254322
PHV,2022,5,814956,57%,86%,88%,0.03002054
PHV,2022,6,895396,49%,92%,92%,0.02778665
PHV,2022,7,1005480,49%,94%,95%,0.022665603
PHV,2022,8,781746,49%,97%,97%,0.018067792
PHV,2022,9,771510,60%,92%,92%,0.014405594
PHV,2022,10,1129202,86%,96%,96%,0.015215666
PHV,2022,11,804176,73%,100%,100%,0.009785771
PHV,2022,12,829494,45%,96%,97%,0.005431183
PHV,2023,1,638506,72%,89%,88%,0.008688678
PHV,2023,2,758648,93%,94%,100%,0.029326724
PHV,2023,3,659778,91%,88%,100%,0.019401558
PHV,2023,4,952575,97%,93%,100%,0.018224819
PHV,2023,5,751952,95%,100%,100%,0.016970725
PHV,2023,6,920274,93%,100%,100%,0.013661591
PHV,2023,7,900369,87%,100%,100%,0.014695688
PHV,2023,8,745874,98%,99%,99%,0.017439503
PHV,2023,9,791429,100%,100%,100%,0.016604676
PHV,2023,10,1102172,98%,100%,100%,0.015340502
PHV,2023,11,893024,100%,100%,100%,0.012676424
PHV,2023,12,873966,99%,100%,100%,0.009019608
PHV,2024,1,991314,100%,100%,100%,
PHV,2024,2,589132,95%,99%,99%,
PHV,2024,3,846257,100%,100%,100%,
PHV,2024,4,933454,100%,100%,100%,
PHV,2024,5,,,,,
PHV,2024,6,,,,,
PHV,2024,7,,,,,
PHV,2024,8,,,,,
PHV,2024,9,,,,,
PHV,2024,10,,,,,
PHV,2024,11,,,,,
PHV,2024,12,,,,,
FTV2,2021,1,1215342,34%,92%,100%,0.013914931
FTV2,2021,2,732516,30%,98%,98%,0.016023089
FTV2,2021,3,994799,45%,98%,100%,0.023398542
FTV2,2021,4,1213827,30%,91%,98%,0.023110255
FTV2,2021,5,1092384,56%,100%,100%,0.020160899
FTV2,2021,6,1075623,86%,97%,98%,0.015085782
FTV2,2021,7,542604,96%,89%,99%,0.007556926
FTV2,2021,8,,0%,0%,0%,0.001002305
FTV2,2021,9,,0%,0%,0%,0.000100331
FTV2,2021,10,114762,0%,0%,1%,
FTV2,2021,11,116019,3%,3%,4%,0.008895552
FTV2,2021,12,690204,3%,3%,5%,0.039019608
FTV2,2022,1,728202,14%,12%,15%,0.024334068
FTV2,2022,2,879186,7%,6%,9%,0.022059514
FTV2,2022,3,878232,21%,23%,45%,0.026667872
FTV2,2022,4,1098678,32%,44%,49%,0.021456496
FTV2,2022,5,1050744,34%,73%,79%,0.019055434
FTV2,2022,6,1019502,34%,79%,82%,0.01771191
FTV2,2022,7,1290810,41%,80%,83%,0.017140838
FTV2,2022,8,943236,62%,76%,77%,0.012423935
FTV2,2022,9,997983,56%,60%,66%,0.012039
FTV2,2022,10,1526575,77%,66%,69%,0.013496448
FTV2,2022,11,1064290,65%,81%,83%,0.009041878
FTV2,2022,12,1068401,78%,88%,92%,0.003842459
FTV2,2023,1,713454,70%,87%,93%,0.010044194
FTV2,2023,2,1127570,85%,90%,96%,0.016805378
FTV2,2023,3,1052130,85%,93%,98%,0.017737998
FTV2,2023,4,1281480,81%,93%,98%,0.012518409
