SI Month,Fty Country (COO),Factory Abbr,INTL/NA,Mkt Region,Market,GBU (PPM),Line Plan Business (PPM),Order#,PO Ln#,Style,Gender (PPM),Wid/Col (2),Quantity,Ship Mode,Release Date,Customer Target XFD (CTXFD),NB Requested XFD (NBRXFD),Orig Fact Cfm XFD (OCXFD),NB Curr Req XFD,Vendor Current Req XFD,Curr Fact Cfm XFD (CCXFD),SI Date,Act XFD,ETA,Line Status,Historical Reason Codes,Item,Model#,PO Identifier,Reason For Delay,Reason Remark,Copy From Orig.PO,Start Production Dt,Customer Request Date,Original Customer Target XFD (OCTXFD),Current Customer Target XFD (CCTXFD),Exp XFD,SI Comment,SI vs NBRXFD,SI vs NBRXFD Early/On-time/Late,SI vs NBRXFD On-time/Late Only,NB Req Late Category,SI vs OCXFD,SI vs OCXFD Early/On-time/Late,SI vs OCXFD On-time/Late Only,Orig Conf Late Category,SI vs CTXFD,SI vs CTXFD Early/On-time/Late,SI vs CXTFD On-time/Late Only,Customer Target Late Category,Air Freight Code,Confirmed FCA,Customer PO,Booking Request Send Date,Historical Reason Remarks,Production Complete Date,Intro Date (PPM),Intro Pd (PPM),SI vs CTXFD On-time/Late Only,Receipt Date,Customer Code,Local Style Description,Supplier Model No,Product Life,Local Segment,Made / Purchased,SMU?,Wid/Col,Feature Technology,World Trade Commodity,World Trade Country Code,Local Product Group Minor,Local Product Minor,Product Display Name,Closure Type
2021/02,CHINA,CJ,INTL,APAC,TAIWAN,Core Athletic,Core Athletic,7092294,7092294-1,WW880GD4,Womens,D,810,Sea,7/27/2020,4/1/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,2/19/2021,4/3/2021,3/29/2021,Received,"CDVC,CDBOK,NBPRC,NBLL",Seasonal,MW_WW880GV4,S121 - 2,CDVC,,,2/16/2021,4/1/2021,4/1/2021,4/1/2021,4/3/2021,,-38,Early,On-time,On-time,-38,Early,On-time,On-time,-41,Early,On-time,On-time,,$27.97,2157056,3/6/2021,,2/18/2021,7/1/2021,2021-S1,On-time,4/10/2021,FE981300,健走鞋,W880,0 - Normal,Performance,P,,D,"GORE-TEX , Synthetic/Mesh Upper, TRUFUSE, WALKING STRIKE PATH",,,152,Womens Walking,880 Gore-Tex,Lace
2021/01,CHINA,CJ,INTL,APAC,TAIWAN,Core Athletic,Core Athletic,7092337,7092337-1,MW880GD4,Mens,SW,"1,056",Sea,7/27/2020,4/1/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,1/11/2021,4/3/2021,3/29/2021,Received,"CDVC,CDBOK,NBPRC,NBLL",Seasonal,MW_WW880GV4,S121 - 2,CDVC,,,1/8/2021,4/1/2021,4/1/2021,4/1/2021,4/3/2021,,-77,Early,On-time,On-time,-77,Early,On-time,On-time,-80,Early,On-time,On-time,,$28.76,2157024,3/6/2021,,1/9/2021,12/1/2020,2021-S1,On-time,4/10/2021,FE981300,,,,Fitness Walking,P,,"4E,2E","GORE-TEX , Synthetic/Mesh Upper, TRUFUSE, WALKING STRIKE PATH",,,151,Mens Walking,880 Gore-Tex,Lace
2021/01,CHINA,CJ,NA,NORTH AMERICA,UNITED STATES,Lifestyle,Lifestyle,7121514,7121514-1,MS327PBA,Mens,D,"2,400",Sea,9/24/2020,12/31/2020,1/4/2021,1/4/2021,1/4/2021,1/4/2021,1/4/2021,1/4/2021,2/6/2021,3/27/2021,Received,"CDVC,CDBOK,CDDOC,NBPRC,NBLL",Futures,MS_WS327V1,,CDVC,,,12/14/2020,4/5/2021,12/31/2020,12/31/2020,2/6/2021,,0,On-time,On-time,On-time,0,On-time,On-time,On-time,4,On-time,On-time,On-time,,$16.41,7391261-18,11/23/2020,,1/2/2021,8/26/2020,2021-S1,On-time,4/1/2021,0744123,,,,,P,,D,"No Feature, No Technology",,,411,Mens Lifestyle,327,Lace
2021/01,CHINA,CJ,NA,NORTH AMERICA,UNITED STATES,Lifestyle,Lifestyle,7121515,7121515-1,MS327TB,Mens,D,"2,640",Sea,9/24/2020,12/31/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,2/2/2021,4/1/2021,Received,"CDVC,CDBOK,CDDOC,NBPRC,NBLL",Futures,MS_WS327V1,,CDVC,,,12/9/2020,3/4/2021,12/31/2020,12/31/2020,2/2/2021,,0,On-time,On-time,On-time,0,On-time,On-time,On-time,-3,Early,On-time,On-time,,$15.75,7391262-18,11/19/2020,,12/26/2020,8/26/2020,2021-S1,On-time,4/6/2021,0744123,,,,,P,,D,"No Feature, No Technology",,,411,Mens Lifestyle,327,Lace
2021/01,CHINA,CJ,NA,NORTH AMERICA,UNITED STATES,Lifestyle,Lifestyle,7121943,7121943-1,WS327PB,Womens,B,"1,056",Sea,9/24/2020,1/2/2021,1/19/2021,1/19/2021,1/19/2021,1/19/2021,1/19/2021,1/19/2021,2/18/2021,3/29/2021,Received,"CDVC,CDBOK,CDDOC,NBPRC,S",Futures,MS_WS327V1,,CDVC,,,12/22/2020,3/2/2021,1/2/2021,1/2/2021,2/18/2021,NBLL,0,On-time,On-time,On-time,0,On-time,On-time,On-time,17,Late,Late,New Balance,,$16.37,710270,12/7/2020,,1/19/2021,10/15/2020,2021-S1,Late,4/9/2021,0802318,,,,,P,,B,"No Feature, No Technology",,,110,Lifestyle,327,Lace
2021/01,CHINA,CJ,NA,NORTH AMERICA,UNITED STATES,Lifestyle,Lifestyle,7121944,7121944-1,MS327PBB,Mens,D,996,Sea,9/24/2020,1/2/2021,1/19/2021,1/19/2021,1/19/2021,1/19/2021,1/19/2021,1/19/2021,2/18/2021,3/29/2021,Received,"CDVC,CDBOK,CDDOC,NBPRC,S",Futures,MS_WS327V1,,CDVC,,,1/4/2021,3/2/2021,1/2/2021,1/2/2021,2/18/2021,NBLL,0,On-time,On-time,On-time,0,On-time,On-time,On-time,17,Late,Late,New Balance,,$16.47,710260,12/7/2020,,1/19/2021,12/1/2020,2021-S1,Late,4/9/2021,0802318,,,,Lifestyle,P,,D,"No Feature, No Technology",,,411,Mens Lifestyle,327,Lace
2021/01,CHINA,CJ,INTL,EMEA,NETHERLANDS,Lifestyle,Lifestyle,7125730,7125730-1,MS237SA,Mens,SW,"1,872",Sea,9/16/2020,11/22/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,1/22/2021,12/28/2020,Received,"CDBOK,CDDOC,NBPRC",Make To Order,MS_WS237V1,,CDBOK,,,12/9/2020,11/22/2020,11/22/2020,11/22/2020,1/22/2021,FDFC,0,On-time,On-time,On-time,0,On-time,On-time,On-time,36,Late,Late,Factory Capacity,,$14.08,,11/23/2020,,12/28/2020,5/8/2020,2021-S1,Late,2/23/2021,,,,,,P,,D,"No Feature, No Technology",,,110,Lifestyle,237,Lace
2021/01,CHINA,CJ,INTL,EMEA,NETHERLANDS,Lifestyle,Lifestyle,7125731,7125731-1,MS237SB,Mens,D,"2,316",Sea,9/16/2020,11/22/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,1/22/2021,12/28/2020,Received,"CDBOK,CDDOC,NBPRC",Make To Order,MS_WS237V1,,CDBOK,,,12/9/2020,11/22/2020,11/22/2020,11/22/2020,1/22/2021,FDFC,0,On-time,On-time,On-time,0,On-time,On-time,On-time,36,Late,Late,Factory Capacity,,$14.03,,11/17/2020,,12/26/2020,5/8/2020,2021-S1,Late,2/23/2021,,,,,,P,,D,"No Feature, No Technology",,,110,Lifestyle,237,Lace
2021/01,CHINA,CJ,INTL,EMEA,NETHERLANDS,Lifestyle,Lifestyle,7125732,7125732-1,MS237SC,Mens,D,"3,216",Sea,9/16/2020,11/22/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,1/22/2021,12/28/2020,Received,"CDBOK,CDDOC,NBPRC",Make To Order,MS_WS237V1,,CDBOK,,,12/9/2020,11/22/2020,11/22/2020,11/22/2020,1/22/2021,FDFC,0,On-time,On-time,On-time,0,On-time,On-time,On-time,36,Late,Late,Factory Capacity,,$14.03,,11/23/2020,,12/26/2020,3/1/2021,2021-S1,Late,2/23/2021,,,,,,P,,D,"No Feature, No Technology",64041990,VN,021,Classic Shoes Mens,237,Lace
2021/01,CHINA,CJ,INTL,EMEA,NETHERLANDS,Lifestyle,Lifestyle,7125733,7125733-1,WS237PW1,Womens,B,"1,584",Sea,9/16/2020,11/22/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,12/28/2020,1/22/2021,12/28/2020,Received,"CDBOK,CDDOC,NBPRC",Make To Order,MS_WS237V1,,CDBOK,,,12/9/2020,11/22/2020,11/22/2020,11/22/2020,1/22/2021,FDFC,0,On-time,On-time,On-time,0,On-time,On-time,On-time,36,Late,Late,Factory Capacity,,$13.94,,11/23/2020,,12/28/2020,3/1/2021,2021-S1,Late,2/23/2021,,,,,,P,,B,"No Feature, No Technology",64039998,CN,022,Classic Shoes Womens,237,Lace
