repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure
1000365,Dinamika Panasia; PT,Indonesia,ID,Personal and Household Goods,https://www.d-panasia.com/,,,False
1000445,Panin Asset Management; PT,Indonesia,ID,Financial Services,https://www.panin-am.co.id/,,,False
100047,IDJ Vietnam Investment JSC,Vietnam,VN,Support Services (Industrial Goods and Services) | Retail | Financial Services,http://www.idjf.vn,VN000000IDJ2,VN000000IDJ2,False
100059,Network Infrastructure Services JSC (NISCO),Vietnam,VN,Telecommunications | Financial Services,,,VN000000NIS2,True
1000845,KCE; PT,Indonesia,ID,General Industrials | Retail,,,,False
100088,Telecommunications Infrastructure Construction and Development Investment JSC (formerly Quangnam Post-Telecoms Construction and Services Corp (QTC)),Vietnam,VN,Telecommunications,http://www.qtc.com.vn,VN000000QCC2,VN000000QCC2,True
1000915,Trimegah Bangun Persada Tbk; PT,Indonesia,ID,Mining,https://tbpnickel.com/,ID1000188006,ID1000188006,False
1000975,Amak Firdaus Utomo; PT (PT AFU),Indonesia,ID,Construction and Materials,,,,False
1001010,Mata Trans; PO,Indonesia,ID,Travel and Leisure,,,,False
1001105,Alibaba Real Estate JSC,Vietnam,VN,Financial Services,,,,False
1001115,Alibaba Tan Thanh Co Ltd,Vietnam,VN,Financial Services,,,,False
100143,Petroleum Dong Do JSC,Vietnam,VN,Financial Services,pvfc-land.com.vn,VN000000PFL8,VN000000PFL8,True
1001865,Sejati 555 Sampurna Nuswantara; PT,Indonesia,ID,Mining,,,,False
100191,Art Design and Communication JSC,Vietnam,VN,Media,http://adc.net.vn/,VN000000ADC4,VN000000ADC4,True
1002310,Sawit Inti Prima Perkasa; PT (PT SIPP),Indonesia,ID,Food and Beverage,,,,False
1002520,Asialog; PT,Indonesia,ID,Forestry,,,,False
1002525,Inhutani 1; PT,Indonesia,ID,Forestry,http://inhutani1.co.id/,,,False
1002585,Sinar Sari Sejati; PT,Indonesia,ID,Personal and Household Goods,,,,False
1002615,Daka Group; PT,Indonesia,ID,Mining,,,,False
1002655,Novartis Vietnam Co Ltd,Vietnam,VN,Pharmaceuticals and Biotechnology,,,,False
1002735,Sumber Berkat Makmur (SBM); CV,Indonesia,ID,Forestry,,,,False
1003020,New Best Global Textile Co Ltd,Cambodia,KH,Personal and Household Goods,,,,False
1003315,Siam Enterprise,Bangladesh,BD,Automobiles and Parts,https://kbfbd.com/,,,False
1003320,Creative Fishing Trader,Bangladesh,BD,Unspecified,,,,False
1003325,Spark,Bangladesh,BD,Unspecified,,,,False
1003330,Opal Trading House,Bangladesh,BD,Retail,,,,False
1003470,Ketapang Subur Lestari; PT,Indonesia,ID,Food and Beverage,,,,False
1003550,Xinxing Steel (XXS); PT,Indonesia,ID,Industrial Metals,,,,False
1003635,Katingan Mujur Sejahtera; PT,Indonesia,ID,Food and Beverage,,,,False
1003925,Eastern Refinery Ltd (ERL),Bangladesh,BD,Oil and Gas,http://www.erl.com.bd/,,,False
1004125,TSP Complex Ltd (Triple Super Phosphate Complex Ltd),Bangladesh,BD,Chemicals,http://tspcl.gov.bd/en/about-tspcl-2/,,,False
1004300,Plasma Nutfah Marind Papua; PT,Indonesia,ID,Forestry,,,,False
1004450,Sebukit Inter Nusa; PT,Indonesia,ID,Unspecified,,,,False
1004620,Sioengs Group; PT,Indonesia,ID,Financial Services,,,,False
1004625,Buana Megatama Jaya; PT,Indonesia,ID,Forestry,,,,False
1005120,Subur Maju Makmur; PT,Indonesia,ID,Forestry,,,,False
1005125,Karya Luhur Sejati; PT,Indonesia,ID,Food and Beverage,,,,False
1005130,Pagatan Usaha Makmur; PT,Indonesia,ID,Food and Beverage,,,,False
1005140,Samhutani; PT,Indonesia,ID,Forestry,,,,False
1005270,Bright Star Corp Ltd,Bangladesh,BD,Support Services (Industrial Goods and Services) | Travel and Leisure,,,,False
1005275,Port City International Ltd,Bangladesh,BD,Support Services (Industrial Goods and Services),,,,False
1005380,Jakaullah & Brothers,Bangladesh,BD,Construction and Materials,,,,False
1006140,Semen Imasco Asiatic; PT (Singa Merah),Indonesia,ID,Construction and Materials,http://singamerah.com,,,False
1006265,Astima Konstruksi (Askon); PT,Indonesia,ID,Construction and Materials,,,,False
1006420,EC Builders Co Ltd,Cambodia,KH,Unspecified,,,,False
1006590,Compania Cervecera de Nicaragua SA,Nicaragua,NI,Food and Beverage,https://www.ccn.com.ni/,,,True
1006685,Puncak Jaya Samudra (PJS); PT,Indonesia,ID,Support Services (Industrial Goods and Services),http://puncakjs.com/,,,False
1006705,Bina Samudra Bahari (BSB); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
1006710,Setya Jaya Samudra (SJS); PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://pt-setya-jaya-samudera.business.site/,,,False
1006720,Bintang Benuajaya Mandiri (BBM); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
1006725,Duta Samudera Bahari (DSB); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
1006730,Righi Marine Internasional (RMI); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
1006760,Panatori Raja; PT,Indonesia,ID,Construction and Materials,,,,False
1006890,Finlay Properties Ltd,Bangladesh,BD,Financial Services,https://www.finlayproperties.com/php_files/standard/user_home/user_home.php?home=yes&tm=main,,,False
1006895,Well Group (Well Food),Bangladesh,BD,Retail,https://wellfoodbd.com/,,,False
1006900,Diamond Cement Ltd,Bangladesh,BD,Construction and Materials,https://www.diamondcementbd.com/,,,False
1006930,Mostafa Hakim,Bangladesh,BD,Construction and Materials,http://mostafahakim.com/,,,False
1006940,Confidence Cement Ltd,Bangladesh,BD,Construction and Materials,http://www.confidencecement.com/,BD0621CNFCM7,BD0621CNFCM7,False
1006950,Khulshi Club Ltd,Bangladesh,BD,Unspecified,,,,False
1006955,Provita Feed Ltd,Bangladesh,BD,Food and Beverage,https://provitagroupbd.com/,,,False
1006960,Provita Group,Bangladesh,BD,Food and Beverage,https://provitagroupbd.com/,,,False
1006965,Ehsan Steel Re-rolling Mills Ltd,Bangladesh,BD,Industrial Metals,,,,False
1006970,Abul Khair Steel Ltd (AKS),Bangladesh,BD,Industrial Metals,http://abulkhairsteel.com/,,,False
1006980,S Alam Cement Ltd,Bangladesh,BD,Construction and Materials,http://www.s.alamgroupbd.com/index.php?option=com_content&view=article&id=12&Itemid=14,,,False
1007290,Batubara Sriwijaya Nusantara; PT (BSN),Indonesia,ID,Mining,,,,False
1009200,Asian Apparels Ltd,Bangladesh,BD,Personal and Household Goods,https://asianapparels.com/,,,False
1009205,Husky CNOOC Madura Ltd; PT (PT HCML),Indonesia,ID,Oil and Gas,https://hcml.co.id/,,,False
1009425,Enarita Development Co Ltd,Cambodia,KH,Financial Services,,,,False
1009625,Artha Prigel; PT (Arta Prigel),Indonesia,ID,Food and Beverage,,,,False
1010055,Kimia Farma Trading & Distribution; PT (PT KFTD),Indonesia,ID,Pharmaceuticals and Biotechnology,,,,False
1010520,Alam Baru; PT,Indonesia,ID,Mining,,,,False
1010755,Danusa Tambang Nusantara; PT (PTDTN),Indonesia,ID,Mining,,,,False
1010860,Khawaja Shipbreaking Ltd,Bangladesh,BD,Support Services (Industrial Goods and Services),,,,False
10110,Bank Lippo Tbk PT,Indonesia,ID,Banks,www.lippobank.co.id,,ID1000093701,False
1011430,Digoel Agri Group,Indonesia,ID,Food and Beverage,,,,False
1011600,Jakarta Cakratunggal Steel Mills; PT,Indonesia,ID,Construction and Materials | General Industrials | Industrial Metals,http://www.cakrasteel.co.id/,,,False
1012035,Canteran Apparel (Cambodia) Co Ltd,Cambodia,KH,Personal and Household Goods,,,,False
1012425,Asahi Seren Indonesia; PT,Indonesia,ID,Support Services (Industrial Goods and Services) | Industrial Metals,,,,False
1012430,Sinergi Prima Sejahtera; PT (SPS),Indonesia,ID,Support Services (Industrial Goods and Services),,,,False
1012450,Sang Hyang Seri (Persero); PT (PT SHS),Indonesia,ID,Food and Beverage | Retail,https://ptsanghyangseri.co.id/,,,False
1012500,Utama Agrindo Mas; PT (PT UAM),Indonesia,ID,Food and Beverage,,,,False
1012900,Jacka Shoes Manufactory Co Ltd,Cambodia,KH,Personal and Household Goods,,,,False
1013085,Chipsgood-Vegetexco JSC,Vietnam,VN,Support Services (Industrial Goods and Services),,,,True
1013200,Manbers Jaya Mandiri; PT (PT MJM),Indonesia,ID,Construction and Materials,,,,False
1013510,Performance Auto Center; PT,Indonesia,ID,Automobiles and Parts,,,,False
1013600,Sutra Marosi Kharisma; PT,Indonesia,ID,Forestry,,,,False
1013620,Kapuas Sawit Sejahtera; PT (PT KSS),Indonesia,ID,Food and Beverage,,,,False
1014070,IFL Factory Ltd,Bangladesh,BD,Personal and Household Goods,https://ifl-factory-ltd.business.site/,,,False
1014080,Siraj Garments,Bangladesh,BD,Personal and Household Goods,,,,False
1014320,Safaa Sweaters Ltd,Bangladesh,BD,Personal and Household Goods,,,,False
1014325,Jahin Textile (Jahin Textile Mills),Bangladesh,BD,Personal and Household Goods,,,,False
1014463,Ruang Raya Indonesia; PT (Ruangguru),Indonesia,ID,Software and Computer Services,https://www.ruangguru.com/,,,False
1014508,Wasteforchange Alam Indonesia; PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://waste4change.com/official/,,,True
101456,Sumi Gita Jaya; PT (Sumigita Jaya; SGJ),Indonesia,ID,Construction and Materials | Oil and Gas,http://sumigita.blogspot.com/,,,False
101457,Green Planet Indonesia; PT,Indonesia,ID,Support Services (Industrial Goods and Services),http://www.greenplanet.co.id/,,,False
1014753,Orami Pte Ltd (Orami.co.id),Indonesia,ID,Retail,https://www.orami.co.id/,,,True
1014920,Indonesia Jiazhaode Agriculture and Forestry Industrial Development; PT (PT JZD),Indonesia,ID,Food and Beverage,,,,False
1014930,Ketapang Ecology and Agriculture Forestry Industrial Park; PT (KIP Group),Indonesia,ID,Financial Services,,,,False
101568,Imma Tex Trading,Bangladesh,BD,General Industrials,,,,True
1016330,Southern Garments Ltd,Bangladesh,BD,Personal and Household Goods,,,,False
1016335,TSS-Fashion,Bangladesh,BD,Personal and Household Goods,,,,False
1016365,Long Xing Logam Indonesia; PT,Indonesia,ID,Industrial Metals,,,,False
1016370,Bumi Mentari Karya; PT (PT BMK),Indonesia,ID,Food and Beverage,,,,False
1016375,Anugerah Keramat Indah; PT (PT AKI),Indonesia,ID,Food and Beverage,,,,False
101647,Khlouse Group,Jordan,JO,Industrial Metals,https://www.khlouse.com/,,,True
1016865,Amax Consultancy and Valuation Company Ltd,Vietnam,VN,Construction and Materials | Financial Services,,,,False
1016900,Quang Da Spinning JSC,Vietnam,VN,Chemicals | Personal and Household Goods,,,,True
1017288,Haldin Pacific Semesta; PT,Indonesia,ID,Food and Beverage,http://www.haldin-natural.com/,,,True
1017418,Panca Boga Paramita; PT,Indonesia,ID,Food and Beverage | Travel and Leisure,,,,True
1017433,Cong TY Vietnam Nutraceuticals (HK) Ltd,Vietnam,VN,Food and Beverage,,,,True
1017448,Kamadjaja Logistics; PT,Indonesia,ID,Industrial Transportation,https://www.kamadjaja.com/,,,True
1017653,Khmer Fresh Milk Co Ltd,Cambodia,KH,Food and Beverage,http://kirisufarm.com/,,,True
1017723,Servicios Financieros Globales Nicaragua SA (Serfigsa),Nicaragua,NI,Financial Services,http://www.serfigsa.com.ni/,,,True
1017725,Meridian Agro Ltd,Bangladesh,BD,Food and Beverage,,,,False
1017778,Tasma Bioenergy Indonesia; PT,Indonesia,ID,Alternative Energy,https://tasma-bioenergy.com/contact-us/,,,True
1017868,Quantum Solar Gorontalo; Pt,Indonesia,ID,Unspecified,,,,True
1017893,Finca Nicaragua SA,Nicaragua,NI,Financial Services,https://www.finca.com.ni/,,,True
1017993,Mekong Wind Power JSC,Vietnam,VN,Utilities,,,,True
1018003,Mount Scopus International; PT,Indonesia,ID,Food and Beverage,,,,True
1018073,MiCredito SA,Nicaragua,NI,Financial Services,,,,True
1018173,Battambang Rice Investment Co Ltd,Cambodia,KH,Food and Beverage,http://www.battambangrice.com/,,,True
1018188,iCare Benefits (Cambodia) Co Ltd,Cambodia,KH,Financial Services,https://icarebenefits.com/,,,True
