QuestID,FactoryBWID,FactoryName,Country,AssessmentDate,year,cName,CNRR,repriskid,RRCleaned,Rrsector,doubt,handcoded,round
12129,2,Hi-Tech Textile L.L.C.,Jordan,19/10/2015,2015,hi-tech textile llc,Hi-Tech Textile LLC,106981,hi-tech textile llc,Personal and Household Goods,0,1,1
17215,2,Hi-Tech Textile L.L.C.,Jordan,16/10/2016,2016,hi-tech textile llc,Hi-Tech Textile LLC,106981,hi-tech textile llc,Personal and Household Goods,0,1,1
22596,2,Hi-Tech Textile L.L.C.,Jordan,27/09/2017,2017,hi-tech textile llc,Hi-Tech Textile LLC,106981,hi-tech textile llc,Personal and Household Goods,0,1,1
30133,2,Hi-Tech Textile L.L.C.,Jordan,16/10/2018,2018,hi-tech textile llc,Hi-Tech Textile LLC,106981,hi-tech textile llc,Personal and Household Goods,0,1,1
36539,2,Hi-Tech Textile L.L.C.,Jordan,14/10/2019,2019,hi-tech textile llc,Hi-Tech Textile LLC,106981,hi-tech textile llc,Personal and Household Goods,0,1,1
41654,2,Hi-Tech Textile L.L.C.,Jordan,22/02/2021,2021,hi-tech textile llc,Hi-Tech Textile LLC,106981,hi-tech textile llc,Personal and Household Goods,0,1,1
9604,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,1/6/2015,2015,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
15001,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,30/05/2016,2016,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
20997,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,12/6/2017,2017,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
27880,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,24/06/2018,2018,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
34621,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,30/06/2019,2019,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
39647,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,19/07/2020,2020,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
43530,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,16/08/2021,2021,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982,jerash garments and fashions manfacturing co,Personal and Household Goods,0,1,2
11315,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1)(Obsolete),Jordan,13/09/2015,2015,classic fashion apparel industry ltd. co,Classic Fashion Apparel Industry Ltd (CFAI),2747,classic fashion apparel industry ltd,Personal and Household Goods,0,1,2
