repriskID,company_name,headquarters_country,headquarters_country_isocode,sectors,url,isins,primary_isin,no_reported_risk_exposure,cName
1000365,Dinamika Panasia; PT,Indonesia,ID,Personal and Household Goods,https://www.d-panasia.com/,,,0,dinamika panasia pt
1000445,Panin Asset Management; PT,Indonesia,ID,Financial Services,https://www.panin-am.co.id/,,,0,panin asset management pt
100047,IDJ Vietnam Investment JSC,Vietnam,VN,Support Services (Industrial Goods and Services) | Retail | Financial Services,http://www.idjf.vn,VN000000IDJ2,VN000000IDJ2,0,idj vietnam investment jsc
100059,Network Infrastructure Services JSC (NISCO),Vietnam,VN,Telecommunications | Financial Services,,,VN000000NIS2,1,network infrastructure services jsc
1000845,KCE; PT,Indonesia,ID,General Industrials | Retail,,,,0,kce pt
100088,Telecommunications Infrastructure Construction and Development Investment JSC (formerly Quangnam Post-Telecoms Construction and Services Corp (QTC)),Vietnam,VN,Telecommunications,http://www.qtc.com.vn,VN000000QCC2,VN000000QCC2,1,telecommunications infrastructure construction and development investment jsc (formerly quangnam post-telecoms construction and services corp (qtc))
1000915,Trimegah Bangun Persada Tbk; PT,Indonesia,ID,Mining,https://tbpnickel.com/,ID1000188006,ID1000188006,0,trimegah bangun persada tbk pt
1000975,Amak Firdaus Utomo; PT (PT AFU),Indonesia,ID,Construction and Materials,,,,0,amak firdaus utomo pt
1001010,Mata Trans; PO,Indonesia,ID,Travel and Leisure,,,,0,mata trans po
1001105,Alibaba Real Estate JSC,Vietnam,VN,Financial Services,,,,0,alibaba real estate jsc
1001115,Alibaba Tan Thanh Co Ltd,Vietnam,VN,Financial Services,,,,0,alibaba tan thanh
100143,Petroleum Dong Do JSC,Vietnam,VN,Financial Services,pvfc-land.com.vn,VN000000PFL8,VN000000PFL8,1,petroleum dong do jsc
1001865,Sejati 555 Sampurna Nuswantara; PT,Indonesia,ID,Mining,,,,0,sejati 555 sampurna nuswantara pt
100191,Art Design and Communication JSC,Vietnam,VN,Media,http://adc.net.vn/,VN000000ADC4,VN000000ADC4,1,art design and communication jsc
1002310,Sawit Inti Prima Perkasa; PT (PT SIPP),Indonesia,ID,Food and Beverage,,,,0,sawit inti prima perkasa pt
1002520,Asialog; PT,Indonesia,ID,Forestry,,,,0,asialog pt
1002525,Inhutani 1; PT,Indonesia,ID,Forestry,http://inhutani1.co.id/,,,0,inhutani 1 pt
1002585,Sinar Sari Sejati; PT,Indonesia,ID,Personal and Household Goods,,,,0,sinar sari sejati pt
1002615,Daka Group; PT,Indonesia,ID,Mining,,,,0,daka group pt
1002655,Novartis Vietnam Co Ltd,Vietnam,VN,Pharmaceuticals and Biotechnology,,,,0,novartis vietnam
1002735,Sumber Berkat Makmur (SBM); CV,Indonesia,ID,Forestry,,,,0,sumber berkat makmur  cv
1003020,New Best Global Textile Co Ltd,Cambodia,KH,Personal and Household Goods,,,,0,new best global textile
1003315,Siam Enterprise,Bangladesh,BD,Automobiles and Parts,https://kbfbd.com/,,,0,siam enterprise
1003320,Creative Fishing Trader,Bangladesh,BD,Unspecified,,,,0,creative fishing trader
1003325,Spark,Bangladesh,BD,Unspecified,,,,0,spark
1003330,Opal Trading House,Bangladesh,BD,Retail,,,,0,opal trading house
1003470,Ketapang Subur Lestari; PT,Indonesia,ID,Food and Beverage,,,,0,ketapang subur lestari pt
1003550,Xinxing Steel (XXS); PT,Indonesia,ID,Industrial Metals,,,,0,xinxing steel  pt
1003635,Katingan Mujur Sejahtera; PT,Indonesia,ID,Food and Beverage,,,,0,katingan mujur sejahtera pt
1003925,Eastern Refinery Ltd (ERL),Bangladesh,BD,Oil and Gas,http://www.erl.com.bd/,,,0,eastern refinery ltd
1004125,TSP Complex Ltd (Triple Super Phosphate Complex Ltd),Bangladesh,BD,Chemicals,http://tspcl.gov.bd/en/about-tspcl-2/,,,0,tsp complex ltd
1004300,Plasma Nutfah Marind Papua; PT,Indonesia,ID,Forestry,,,,0,plasma nutfah marind papua pt
1004450,Sebukit Inter Nusa; PT,Indonesia,ID,Unspecified,,,,0,sebukit inter nusa pt
1004620,Sioengs Group; PT,Indonesia,ID,Financial Services,,,,0,sioengs group pt
1004625,Buana Megatama Jaya; PT,Indonesia,ID,Forestry,,,,0,buana megatama jaya pt
1005120,Subur Maju Makmur; PT,Indonesia,ID,Forestry,,,,0,subur maju makmur pt
1005125,Karya Luhur Sejati; PT,Indonesia,ID,Food and Beverage,,,,0,karya luhur sejati pt
1005130,Pagatan Usaha Makmur; PT,Indonesia,ID,Food and Beverage,,,,0,pagatan usaha makmur pt
1005140,Samhutani; PT,Indonesia,ID,Forestry,,,,0,samhutani pt
1005270,Bright Star Corp Ltd,Bangladesh,BD,Support Services (Industrial Goods and Services) | Travel and Leisure,,,,0,bright star corp ltd
1005275,Port City International Ltd,Bangladesh,BD,Support Services (Industrial Goods and Services),,,,0,port city international ltd
1005380,Jakaullah & Brothers,Bangladesh,BD,Construction and Materials,,,,0,jakaullah and brothers
1006140,Semen Imasco Asiatic; PT (Singa Merah),Indonesia,ID,Construction and Materials,http://singamerah.com,,,0,semen imasco asiatic pt
1006265,Astima Konstruksi (Askon); PT,Indonesia,ID,Construction and Materials,,,,0,astima konstruksi  pt
1006420,EC Builders Co Ltd,Cambodia,KH,Unspecified,,,,0,ec builders
1006590,Compania Cervecera de Nicaragua SA,Nicaragua,NI,Food and Beverage,https://www.ccn.com.ni/,,,1,compania cervecera de nicaragua sa
1006685,Puncak Jaya Samudra (PJS); PT,Indonesia,ID,Support Services (Industrial Goods and Services),http://puncakjs.com/,,,0,puncak jaya samudra  pt
1006705,Bina Samudra Bahari (BSB); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,bina samudra bahari  pt
1006710,Setya Jaya Samudra (SJS); PT,Indonesia,ID,Support Services (Industrial Goods and Services),https://pt-setya-jaya-samudera.business.site/,,,0,setya jaya samudra  pt
1006720,Bintang Benuajaya Mandiri (BBM); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,bintang benuajaya mandiri  pt
1006725,Duta Samudera Bahari (DSB); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,duta samudera bahari  pt
1006730,Righi Marine Internasional (RMI); PT,Indonesia,ID,Support Services (Industrial Goods and Services),,,,0,righi marine internasional  pt
1006760,Panatori Raja; PT,Indonesia,ID,Construction and Materials,,,,0,panatori raja pt
