,QuestID,FactoryBWID,FactoryName,Country,AssessmentDate,year,FNC,cName,CNRR,repriskID,RRCleaned,RRSector,doubt
0,12129,2,Hi-Tech Textile L.L.C.,Jordan,19/10/2015,2015,,hi-tech textile llc,Hi-Tech Textile LLC,106981.0,hi-tech textile llc,Personal and Household Goods,0
1,17215,2,Hi-Tech Textile L.L.C.,Jordan,16/10/2016,2016,,hi-tech textile llc,Hi-Tech Textile LLC,106981.0,hi-tech textile llc,Personal and Household Goods,0
2,22596,2,Hi-Tech Textile L.L.C.,Jordan,27/09/2017,2017,,hi-tech textile llc,Hi-Tech Textile LLC,106981.0,hi-tech textile llc,Personal and Household Goods,0
3,30133,2,Hi-Tech Textile L.L.C.,Jordan,16/10/2018,2018,,hi-tech textile llc,Hi-Tech Textile LLC,106981.0,hi-tech textile llc,Personal and Household Goods,0
4,36539,2,Hi-Tech Textile L.L.C.,Jordan,14/10/2019,2019,,hi-tech textile llc,Hi-Tech Textile LLC,106981.0,hi-tech textile llc,Personal and Household Goods,0
5,41654,2,Hi-Tech Textile L.L.C.,Jordan,22/02/2021,2021,,hi-tech textile llc,Hi-Tech Textile LLC,106981.0,hi-tech textile llc,Personal and Household Goods,0
6,9604,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,01/06/2015,2015,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
7,15001,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,30/05/2016,2016,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
8,20997,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,12/06/2017,2017,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
9,27880,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,24/06/2018,2018,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
10,34621,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,30/06/2019,2019,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
11,39647,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,19/07/2020,2020,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
12,43530,4,Jerash Garments and Fashions Mfg. Co. Ltd. (Unit 1 & 3),Jordan,16/08/2021,2021,,jerash garments and fashions manufacturing,Jerash Garments & Fashions Manfacturing Co.,106982.0,jerash garments and fashions manfacturing co,Personal and Household Goods,0
13,11315,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1)(Obsolete),Jordan,13/09/2015,2015,,classic fashion apparel industry ltd. co,Classic Fashion Apparel Industry Ltd (CFAI),2747.0,classic fashion apparel industry ltd,Personal and Household Goods,0
14,16871,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1)(Obsolete),Jordan,24/09/2016,2016,,classic fashion apparel industry ltd. co,Classic Fashion Apparel Industry Ltd (CFAI),2747.0,classic fashion apparel industry ltd,Personal and Household Goods,0
15,22611,5,Classic Fashion Apparel Industry Ltd. Co. (Unit 1),Jordan,10/09/2017,2017,,classic fashion apparel industry ltd. co,Classic Fashion Apparel Industry Ltd (CFAI),2747.0,classic fashion apparel industry ltd,Personal and Household Goods,0
16,12189,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,11/11/2015,2015,,eam maliban textiles jordan ltd,,,,,0
17,17635,6,Eam Maliban Textiles Jordan (PVT) Ltd. (Inactive),Jordan,20/11/2016,2016,,eam maliban textiles jordan ltd,,,,,0
18,23533,6,Eam Maliban Textiles Jordan (PVT) Ltd.,Jordan,12/11/2017,2017,,eam maliban textiles jordan ltd,,,,,0
