QuestID,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1pol19,buyer1gov19,buyer1trace19,buyer2trace19,buyer3trace19,buyertracemx19,buyer1know19,buyer2know19,buyer3know19,buyerknowmx19
12129,2,one jeans wear,li & fung,kenneth cole,0,0,0,0,0,0,0,0,0,0
17215,2,one jeans wear,li & fung,kenneth cole,0,0,0,0,0,0,0,0,0,0
22596,2,one jeans wear,li & fung,kenneth cole,0,0,0,0,0,0,0,0,0,0
30133,2,one jeans wear,li & fung,kenneth cole,0,0,0,0,0,0,0,0,0,0
36539,2,one jeans wear,li & fung,kenneth cole,0,0,0,0,0,0,0,0,0,0
41654,2,one jeans wear,li & fung,kenneth cole,0,0,0,0,0,0,0,0,0,0
9604,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
15001,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
20997,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
27880,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
34621,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
39647,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
43530,4,vf,pvh,colombia,0,0,0,0,3,3,0,0,2,2
11315,5,walmart,jc penney,hanesbrands,8,7,1,1,5,5,3,2,2,3
16871,5,walmart,jc penney,hanesbrands,8,7,1,1,5,5,3,2,2,3
22611,5,walmart,jc penney,hanesbrands,8,7,1,1,5,5,3,2,2,3
12189,6,gap,express,land's end,10,5,5,1,1,5,5,1,2,5
17635,6,gap,express,land's end,10,5,5,1,1,5,5,1,2,5
23533,6,gap,express,land's end,10,5,5,1,1,5,5,1,2,5
30785,6,gap,express,land's end,10,5,5,1,1,5,5,1,2,5
37243,6,gap,express,land's end,10,5,5,1,1,5,5,1,2,5
40925,6,gap,express,land's end,10,5,5,1,1,5,5,1,2,5
12742,7,nygard international,gap,ann taylor,0,0,0,5,0,5,0,5,0,5
17245,7,nygard international,gap,ann taylor,0,0,0,5,0,5,0,5,0,5
23068,7,nygard international,gap,ann taylor,0,0,0,5,0,5,0,5,0,5
30170,7,nygard international,gap,ann taylor,0,0,0,5,0,5,0,5,0,5
36597,7,nygard international,gap,ann taylor,0,0,0,5,0,5,0,5,0,5
40058,7,nygard international,gap,ann taylor,0,0,0,5,0,5,0,5,0,5
10183,8,walmart,kmart,russell corporation,8,7,1,1,0,1,3,2,0,3
16002,8,walmart,kmart,russell corporation,8,7,1,1,0,1,3,2,0,3
21357,8,walmart,kmart,russell corporation,8,7,1,1,0,1,3,2,0,3
28278,8,walmart,kmart,russell corporation,8,7,1,1,0,1,3,2,0,3
35827,8,walmart,kmart,russell corporation,8,7,1,1,0,1,3,2,0,3
40097,8,walmart,kmart,russell corporation,8,7,1,1,0,1,3,2,0,3
8714,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
14705,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
19780,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
26771,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
33480,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
39541,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
42773,14,gap,ralph lauren,land's end,10,5,5,1,1,5,5,2,2,5
8200,15,rock revival & miss me,olymp,pacific sunwear,0,0,0,0,0,0,0,0,0,0
17779,15,rock revival & miss me,olymp,pacific sunwear,0,0,0,0,0,0,0,0,0,0
26358,15,rock revival & miss me,olymp,pacific sunwear,0,0,0,0,0,0,0,0,0,0
33186,15,rock revival & miss me,olymp,pacific sunwear,0,0,0,0,0,0,0,0,0,0
39357,15,rock revival & miss me,olymp,pacific sunwear,0,0,0,0,0,0,0,0,0,0
9733,16,nike,carter's,gear for sport,9,7,7,0,0,7,4,0,0,4
15556,16,nike,carter's,gear for sport,9,7,7,0,0,7,4,0,0,4
22768,16,nike,carter's,gear for sport,9,7,7,0,0,7,4,0,0,4
30141,16,nike,carter's,gear for sport,9,7,7,0,0,7,4,0,0,4
37022,16,nike,carter's,gear for sport,9,7,7,0,0,7,4,0,0,4
40556,16,nike,carter's,gear for sport,9,7,7,0,0,7,4,0,0,4
11637,18,,,,0,0,0,0,0,0,0,0,0,0
14410,18,,,,0,0,0,0,0,0,0,0,0,0
9622,24,icat de cv,,,0,0,0,0,0,0,0,0,0,0
14606,24,icat de cv,,,0,0,0,0,0,0,0,0,0,0
21537,24,icat de cv,,,0,0,0,0,0,0,0,0,0,0
28943,24,icat de cv,,,0,0,0,0,0,0,0,0,0,0
35107,24,icat de cv,,,0,0,0,0,0,0,0,0,0,0
41713,24,icat de cv,,,0,0,0,0,0,0,0,0,0,0
9992,28,dickies,fishman tobin,strategic patners (spi),0,0,0,0,0,0,0,0,0,0
15233,28,dickies,fishman tobin,strategic patners (spi),0,0,0,0,0,0,0,0,0,0
20026,28,dickies,fishman tobin,strategic patners (spi),0,0,0,0,0,0,0,0,0,0
