QuestID,FactoryAssessedID,buyer1name,buyer2name,buyer3name,buyer1pol,buyer1gov,buyer1trace,buyer2trace,buyer3trace,buyertracemx,buyer1know,buyer2know,buyer3know,buyerknowmx
12129,2,one jeans wear,li & fung,kenneth cole,,,,,,-1.0,,,,-1.0
17215,2,one jeans wear,li & fung,kenneth cole,,,,,,-1.0,,,,-1.0
22596,2,one jeans wear,li & fung,kenneth cole,,,,,,-1.0,,,,-1.0
30133,2,one jeans wear,li & fung,kenneth cole,,,,,,-1.0,,,,-1.0
36539,2,one jeans wear,li & fung,kenneth cole,,,,,,-1.0,,,,-1.0
41654,2,one jeans wear,li & fung,kenneth cole,,,,,,-1.0,,,,-1.0
9604,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
15001,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
20997,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
27880,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
34621,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
39647,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
43530,4,vf,pvh,colombia,,,,,,-1.0,,,,-1.0
11315,5,walmart,jc penney,hanesbrands,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
16871,5,walmart,jc penney,hanesbrands,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
22611,5,walmart,jc penney,hanesbrands,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
12189,6,gap,express,land's end,86.0,46.0,48.0,0.0,,-1.0,54.0,11.0,,-1.0
17635,6,gap,express,land's end,86.0,46.0,48.0,0.0,,-1.0,54.0,11.0,,-1.0
23533,6,gap,express,land's end,86.0,46.0,48.0,0.0,,-1.0,54.0,11.0,,-1.0
30785,6,gap,express,land's end,86.0,46.0,48.0,0.0,,-1.0,54.0,11.0,,-1.0
37243,6,gap,express,land's end,86.0,46.0,48.0,0.0,,-1.0,54.0,11.0,,-1.0
40925,6,gap,express,land's end,86.0,46.0,48.0,0.0,,-1.0,54.0,11.0,,-1.0
12742,7,nygard international,gap,ann taylor,,,,48.0,,-1.0,,54.0,,-1.0
17245,7,nygard international,gap,ann taylor,,,,48.0,,-1.0,,54.0,,-1.0
23068,7,nygard international,gap,ann taylor,,,,48.0,,-1.0,,54.0,,-1.0
30170,7,nygard international,gap,ann taylor,,,,48.0,,-1.0,,54.0,,-1.0
36597,7,nygard international,gap,ann taylor,,,,48.0,,-1.0,,54.0,,-1.0
40058,7,nygard international,gap,ann taylor,,,,48.0,,-1.0,,54.0,,-1.0
10183,8,walmart,kmart,russell corporation,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
16002,8,walmart,kmart,russell corporation,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
21357,8,walmart,kmart,russell corporation,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
28278,8,walmart,kmart,russell corporation,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
35827,8,walmart,kmart,russell corporation,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
40097,8,walmart,kmart,russell corporation,68.0,62.0,0.0,,,-1.0,24.0,,,-1.0
8714,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
14705,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
19780,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
26771,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
33480,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
39541,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
42773,14,gap,ralph lauren,land's end,86.0,46.0,48.0,1.0,,-1.0,54.0,15.0,,-1.0
8200,15,rock revival & miss me,olymp,pacific sunwear,,,,,,-1.0,,,,-1.0
17779,15,rock revival & miss me,olymp,pacific sunwear,,,,,,-1.0,,,,-1.0
26358,15,rock revival & miss me,olymp,pacific sunwear,,,,,,-1.0,,,,-1.0
33186,15,rock revival & miss me,olymp,pacific sunwear,,,,,,-1.0,,,,-1.0
